#           k/h    P           
    0.42098E-02    0.13763E+05
    0.42948E-02    0.13968E+05
    0.43816E-02    0.14175E+05
    0.44701E-02    0.14384E+05
    0.45604E-02    0.14595E+05
    0.46525E-02    0.14806E+05
    0.47465E-02    0.15019E+05
    0.48424E-02    0.15234E+05
    0.49402E-02    0.15450E+05
    0.50400E-02    0.15667E+05
    0.51419E-02    0.15885E+05
    0.52457E-02    0.16104E+05
    0.53517E-02    0.16324E+05
    0.54598E-02    0.16546E+05
    0.55701E-02    0.16768E+05
    0.56826E-02    0.16990E+05
    0.57974E-02    0.17214E+05
    0.59145E-02    0.17438E+05
    0.60340E-02    0.17662E+05
    0.61559E-02    0.17887E+05
    0.62803E-02    0.18112E+05
    0.64072E-02    0.18337E+05
    0.65366E-02    0.18563E+05
    0.66686E-02    0.18788E+05
    0.68033E-02    0.19013E+05
    0.69408E-02    0.19237E+05
    0.70810E-02    0.19461E+05
    0.72240E-02    0.19685E+05
    0.73700E-02    0.19907E+05
    0.75189E-02    0.20129E+05
    0.76708E-02    0.20349E+05
    0.78257E-02    0.20569E+05
    0.79838E-02    0.20787E+05
    0.81451E-02    0.21003E+05
    0.83096E-02    0.21218E+05
    0.84775E-02    0.21430E+05
    0.86488E-02    0.21641E+05
    0.88235E-02    0.21849E+05
    0.90017E-02    0.22055E+05
    0.91836E-02    0.22258E+05
    0.93691E-02    0.22458E+05
    0.95583E-02    0.22655E+05
    0.97514E-02    0.22848E+05
    0.99484E-02    0.23038E+05
    0.10149E-01    0.23224E+05
    0.10354E-01    0.23406E+05
    0.10564E-01    0.23584E+05
    0.10777E-01    0.23757E+05
    0.10995E-01    0.23926E+05
    0.11217E-01    0.24089E+05
    0.11443E-01    0.24247E+05
    0.11675E-01    0.24400E+05
    0.11910E-01    0.24547E+05
    0.12151E-01    0.24687E+05
    0.12397E-01    0.24821E+05
    0.12647E-01    0.24949E+05
    0.12902E-01    0.25070E+05
    0.13163E-01    0.25183E+05
    0.13429E-01    0.25289E+05
    0.13700E-01    0.25387E+05
    0.13977E-01    0.25477E+05
    0.14259E-01    0.25559E+05
    0.14547E-01    0.25632E+05
    0.14841E-01    0.25696E+05
    0.15141E-01    0.25751E+05
    0.15447E-01    0.25797E+05
    0.15759E-01    0.25833E+05
    0.16077E-01    0.25859E+05
    0.16402E-01    0.25874E+05
    0.16734E-01    0.25879E+05
    0.17072E-01    0.25874E+05
    0.17416E-01    0.25857E+05
    0.17768E-01    0.25829E+05
    0.18127E-01    0.25790E+05
    0.18493E-01    0.25739E+05
    0.18867E-01    0.25676E+05
    0.19248E-01    0.25602E+05
    0.19637E-01    0.25515E+05
    0.20034E-01    0.25416E+05
    0.20438E-01    0.25305E+05
    0.20851E-01    0.25182E+05
    0.21272E-01    0.25046E+05
    0.21702E-01    0.24898E+05
    0.22141E-01    0.24738E+05
    0.22588E-01    0.24565E+05
    0.23044E-01    0.24381E+05
    0.23510E-01    0.24184E+05
    0.23985E-01    0.23975E+05
    0.24469E-01    0.23755E+05
    0.24964E-01    0.23524E+05
    0.25468E-01    0.23282E+05
    0.25982E-01    0.23029E+05
    0.26507E-01    0.22765E+05
    0.27043E-01    0.22492E+05
