#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105049E-04   0.153392E+08   0.153392E+08   0.204445E+08   0.204443E+08   0.000000E+00   0.153392E+08   0.153392E+08   0.153482E+08  -0.545578E+00   0.116861E+08   0.116861E+08   0.806073E+01
   0.115998E-04   0.153392E+08   0.153392E+08   0.204428E+08   0.204425E+08   0.000000E+00   0.153392E+08   0.153392E+08   0.153482E+08  -0.545578E+00   0.116861E+08   0.116861E+08   0.890062E+01
   0.128088E-04   0.153392E+08   0.153392E+08   0.204408E+08   0.204404E+08   0.000000E+00   0.153392E+08   0.153392E+08   0.153482E+08  -0.545578E+00   0.116861E+08   0.116861E+08   0.982796E+01
   0.141437E-04   0.153392E+08   0.153392E+08   0.204383E+08   0.204378E+08   0.000000E+00   0.153392E+08   0.153392E+08   0.153482E+08  -0.545577E+00   0.116861E+08   0.116861E+08   0.108519E+02
   0.156178E-04   0.153392E+08   0.153392E+08   0.204352E+08   0.204346E+08   0.000000E+00   0.153392E+08   0.153392E+08   0.153482E+08  -0.545577E+00   0.116861E+08   0.116861E+08   0.119823E+02
   0.172456E-04   0.153391E+08   0.153391E+08   0.204315E+08   0.204308E+08   0.000000E+00   0.153391E+08   0.153391E+08   0.153481E+08  -0.545577E+00   0.116861E+08   0.116861E+08   0.132304E+02
   0.190429E-04   0.153391E+08   0.153391E+08   0.204269E+08   0.204260E+08   0.000000E+00   0.153391E+08   0.153391E+08   0.153481E+08  -0.545576E+00   0.116861E+08   0.116861E+08   0.146083E+02
   0.210277E-04   0.153391E+08   0.153391E+08   0.204213E+08   0.204203E+08   0.000000E+00   0.153391E+08   0.153391E+08   0.153481E+08  -0.545575E+00   0.116861E+08   0.116861E+08   0.161295E+02
   0.232192E-04   0.153391E+08   0.153391E+08   0.204145E+08   0.204133E+08   0.000000E+00   0.153391E+08   0.153391E+08   0.153481E+08  -0.545575E+00   0.116861E+08   0.116861E+08   0.178088E+02
   0.256392E-04   0.153391E+08   0.153391E+08   0.204063E+08   0.204047E+08   0.000000E+00   0.153391E+08   0.153391E+08   0.153481E+08  -0.545574E+00   0.116861E+08   0.116861E+08   0.196625E+02
   0.283114E-04   0.153391E+08   0.153391E+08   0.203962E+08   0.203943E+08   0.000000E+00   0.153391E+08   0.153391E+08   0.153480E+08  -0.545573E+00   0.116860E+08   0.116860E+08   0.217085E+02
