#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186226E-03   0.113209E+06   0.113207E+06   0.150870E+06   0.150851E+06   0.000000E+00   0.113209E+06   0.113209E+06   0.122120E+06  -0.606796E+00   0.112875E+06   0.112874E+06   0.123086E+02
   0.205635E-03   0.113208E+06   0.113206E+06   0.150852E+06   0.150829E+06   0.000000E+00   0.113208E+06   0.113208E+06   0.122118E+06  -0.606784E+00   0.112873E+06   0.112872E+06   0.135912E+02
   0.227067E-03   0.113207E+06   0.113204E+06   0.150830E+06   0.150802E+06   0.000000E+00   0.113206E+06   0.113206E+06   0.122115E+06  -0.606768E+00   0.112872E+06   0.112871E+06   0.150075E+02
   0.250732E-03   0.113205E+06   0.113201E+06   0.150803E+06   0.150768E+06   0.000000E+00   0.113204E+06   0.113204E+06   0.122111E+06  -0.606750E+00   0.112870E+06   0.112868E+06   0.165714E+02
   0.276864E-03   0.113203E+06   0.113198E+06   0.150770E+06   0.150728E+06   0.000000E+00   0.113202E+06   0.113202E+06   0.122107E+06  -0.606728E+00   0.112868E+06   0.112866E+06   0.182981E+02
   0.305720E-03   0.113200E+06   0.113194E+06   0.150730E+06   0.150678E+06   0.000000E+00   0.113199E+06   0.113199E+06   0.122102E+06  -0.606700E+00   0.112865E+06   0.112863E+06   0.202046E+02
   0.337583E-03   0.113197E+06   0.113190E+06   0.150681E+06   0.150618E+06   0.000000E+00   0.113196E+06   0.113196E+06   0.122095E+06  -0.606667E+00   0.112862E+06   0.112859E+06   0.223096E+02
   0.372767E-03   0.113193E+06   0.113184E+06   0.150621E+06   0.150545E+06   0.000000E+00   0.113192E+06   0.113192E+06   0.122087E+06  -0.606626E+00   0.112858E+06   0.112854E+06   0.246338E+02
   0.411618E-03   0.113188E+06   0.113178E+06   0.150548E+06   0.150456E+06   0.000000E+00   0.113187E+06   0.113187E+06   0.122077E+06  -0.606576E+00   0.112853E+06   0.112849E+06   0.271999E+02
   0.454518E-03   0.113182E+06   0.113170E+06   0.150460E+06   0.150347E+06   0.000000E+00   0.113180E+06   0.113180E+06   0.122065E+06  -0.606516E+00   0.112847E+06   0.112842E+06   0.300330E+02
   0.501889E-03   0.113175E+06   0.113160E+06   0.150352E+06   0.150214E+06   0.000000E+00   0.113173E+06   0.113173E+06   0.122051E+06  -0.606442E+00   0.112839E+06   0.112833E+06   0.331607E+02
   0.554198E-03   0.113167E+06   0.113148E+06   0.150220E+06   0.150052E+06   0.000000E+00   0.113164E+06   0.113164E+06   0.122033E+06  -0.606352E+00   0.112830E+06   0.112823E+06   0.366135E+02
   0.611958E-03   0.113156E+06   0.113133E+06   0.150060E+06   0.149856E+06   0.000000E+00   0.113152E+06   0.113152E+06   0.122012E+06  -0.606243E+00   0.112819E+06   0.112810E+06   0.404251E+02
   0.675738E-03   0.113143E+06   0.113115E+06   0.149865E+06   0.149616E+06   0.000000E+00   0.113139E+06   0.113139E+06   0.121985E+06  -0.606109E+00   0.112806E+06   0.112795E+06   0.446324E+02
   0.746165E-03   0.113127E+06   0.113093E+06   0.149627E+06   0.149324E+06   0.000000E+00   0.113122E+06   0.113122E+06   0.121953E+06  -0.605947E+00   0.112790E+06   0.112776E+06   0.492762E+02
   0.823933E-03   0.113108E+06   0.113066E+06   0.149337E+06   0.148969E+06   0.000000E+00   0.113102E+06   0.113102E+06   0.121914E+06  -0.605749E+00   0.112770E+06   0.112753E+06   0.544012E+02
   0.909805E-03   0.113085E+06   0.113034E+06   0.148985E+06   0.148537E+06   0.000000E+00   0.113077E+06   0.113077E+06   0.121867E+06  -0.605507E+00   0.112746E+06   0.112726E+06   0.600566E+02
   0.100463E-02   0.113057E+06   0.112994E+06   0.148556E+06   0.148012E+06   0.000000E+00   0.113047E+06   0.113047E+06   0.121809E+06  -0.605214E+00   0.112716E+06   0.112692E+06   0.662965E+02
   0.110933E-02   0.113022E+06   0.112946E+06   0.148035E+06   0.147373E+06   0.000000E+00   0.113010E+06   0.113010E+06   0.121739E+06  -0.604856E+00   0.112680E+06   0.112651E+06   0.731801E+02
   0.122495E-02   0.112980E+06   0.112887E+06   0.147401E+06   0.146598E+06   0.000000E+00   0.112965E+06   0.112965E+06   0.121653E+06  -0.604421E+00   0.112637E+06   0.112601E+06   0.807720E+02
   0.135262E-02   0.112928E+06   0.112815E+06   0.146632E+06   0.145659E+06   0.000000E+00   0.112911E+06   0.112911E+06   0.121549E+06  -0.603892E+00   0.112583E+06   0.112539E+06   0.891432E+02
   0.149359E-02   0.112866E+06   0.112728E+06   0.145698E+06   0.144520E+06   0.000000E+00   0.112845E+06   0.112845E+06   0.121423E+06  -0.603248E+00   0.112519E+06   0.112465E+06   0.983706E+02
   0.164926E-02   0.112790E+06   0.112622E+06   0.144567E+06   0.143142E+06   0.000000E+00   0.112764E+06   0.112764E+06   0.121269E+06  -0.602466E+00   0.112440E+06   0.112374E+06   0.108538E+03
   0.182115E-02   0.112697E+06   0.112493E+06   0.143197E+06   0.141478E+06   0.000000E+00   0.112666E+06   0.112666E+06   0.121083E+06  -0.601517E+00   0.112344E+06   0.112264E+06   0.119735E+03
   0.201096E-02   0.112585E+06   0.112336E+06   0.141542E+06   0.139473E+06   0.000000E+00   0.112546E+06   0.112546E+06   0.120858E+06  -0.600367E+00   0.112227E+06   0.112130E+06   0.132061E+03
   0.222054E-02   0.112448E+06   0.112145E+06   0.139546E+06   0.137062E+06   0.000000E+00   0.112401E+06   0.112401E+06   0.120585E+06  -0.598972E+00   0.112085E+06   0.111966E+06   0.145618E+03
   0.245198E-02   0.112283E+06   0.111912E+06   0.137144E+06   0.134173E+06   0.000000E+00   0.112225E+06   0.112225E+06   0.120255E+06  -0.597286E+00   0.111912E+06   0.111768E+06   0.160518E+03
   0.270753E-02   0.112081E+06   0.111631E+06   0.134263E+06   0.130725E+06   0.000000E+00   0.112012E+06   0.112012E+06   0.119857E+06  -0.595250E+00   0.111702E+06   0.111527E+06   0.176877E+03
   0.298972E-02   0.111838E+06   0.111289E+06   0.130819E+06   0.126627E+06   0.000000E+00   0.111753E+06   0.111753E+06   0.119379E+06  -0.592796E+00   0.111447E+06   0.111235E+06   0.194814E+03
   0.330131E-02   0.111543E+06   0.110875E+06   0.126721E+06   0.121787E+06   0.000000E+00   0.111439E+06   0.111439E+06   0.118806E+06  -0.589847E+00   0.111139E+06   0.110880E+06   0.214454E+03
   0.364539E-02   0.111187E+06   0.110374E+06   0.121870E+06   0.116110E+06   0.000000E+00   0.111061E+06   0.111061E+06   0.118121E+06  -0.586313E+00   0.110765E+06   0.110451E+06   0.235918E+03
   0.402532E-02   0.110757E+06   0.109768E+06   0.116168E+06   0.109511E+06   0.000000E+00   0.110604E+06   0.110604E+06   0.117306E+06  -0.582095E+00   0.110314E+06   0.109932E+06   0.259322E+03
   0.444485E-02   0.110241E+06   0.109039E+06   0.109521E+06   0.101922E+06   0.000000E+00   0.110055E+06   0.110055E+06   0.116342E+06  -0.577082E+00   0.109769E+06   0.109307E+06   0.284776E+03
   0.490810E-02   0.109622E+06   0.108162E+06   0.101850E+06   0.933128E+05   0.000000E+00   0.109396E+06   0.109396E+06   0.115207E+06  -0.571157E+00   0.109114E+06   0.108554E+06   0.312367E+03
   0.541964E-02   0.108882E+06   0.107110E+06   0.931119E+05   0.837085E+05   0.000000E+00   0.108607E+06   0.108607E+06   0.113882E+06  -0.564201E+00   0.108327E+06   0.107650E+06   0.342160E+03
