#    L    TT             EE             BB             TE          
   385    0.18236E+04    0.20982E+02    0.41020E-01    0.27151E+02
   386    0.18134E+04    0.21018E+02    0.41142E-01    0.25254E+02
   387    0.18036E+04    0.21050E+02    0.41265E-01    0.23355E+02
   388    0.17942E+04    0.21078E+02    0.41388E-01    0.21457E+02
   389    0.17853E+04    0.21100E+02    0.41512E-01    0.19558E+02
   390    0.17768E+04    0.21122E+02    0.41637E-01    0.17662E+02
   391    0.17687E+04    0.21138E+02    0.41762E-01    0.15767E+02
   392    0.17610E+04    0.21152E+02    0.41887E-01    0.13875E+02
   393    0.17539E+04    0.21162E+02    0.42014E-01    0.11987E+02
   394    0.17470E+04    0.21167E+02    0.42141E-01    0.10104E+02
   395    0.17406E+04    0.21169E+02    0.42268E-01    0.82241E+01
   396    0.17347E+04    0.21166E+02    0.42396E-01    0.63519E+01
   397    0.17290E+04    0.21160E+02    0.42525E-01    0.44855E+01
   398    0.17239E+04    0.21150E+02    0.42655E-01    0.26264E+01
   399    0.17191E+04    0.21136E+02    0.42785E-01    0.77529E+00
   400    0.17147E+04    0.21118E+02    0.42916E-01   -0.10668E+01
   401    0.17107E+04    0.21097E+02    0.43048E-01   -0.28994E+01
   402    0.17072E+04    0.21070E+02    0.43181E-01   -0.47216E+01
   403    0.17040E+04    0.21041E+02    0.43314E-01   -0.65328E+01
   404    0.17012E+04    0.21008E+02    0.43448E-01   -0.83314E+01
   405    0.16988E+04    0.20970E+02    0.43583E-01   -0.10118E+02
   406    0.16968E+04    0.20929E+02    0.43719E-01   -0.11891E+02
   407    0.16951E+04    0.20884E+02    0.43856E-01   -0.13652E+02
   408    0.16938E+04    0.20836E+02    0.43993E-01   -0.15396E+02
   409    0.16930E+04    0.20784E+02    0.44132E-01   -0.17125E+02
   410    0.16925E+04    0.20728E+02    0.44271E-01   -0.18839E+02
   411    0.16923E+04    0.20669E+02    0.44411E-01   -0.20535E+02
   412    0.16925E+04    0.20606E+02    0.44552E-01   -0.22214E+02
   413    0.16931E+04    0.20539E+02    0.44695E-01   -0.23875E+02
   414    0.16939E+04    0.20469E+02    0.44838E-01   -0.25518E+02
   415    0.16952E+04    0.20396E+02    0.44982E-01   -0.27141E+02
   416    0.16968E+04    0.20318E+02    0.45126E-01   -0.28744E+02
   417    0.16986E+04    0.20238E+02    0.45272E-01   -0.30328E+02
   418    0.17008E+04    0.20153E+02    0.45419E-01   -0.31889E+02
   419    0.17034E+04    0.20065E+02    0.45567E-01   -0.33429E+02
   420    0.17063E+04    0.19975E+02    0.45716E-01   -0.34946E+02
   421    0.17095E+04    0.19881E+02    0.45866E-01   -0.36441E+02
   422    0.17131E+04    0.19783E+02    0.46017E-01   -0.37912E+02
   423    0.17168E+04    0.19682E+02    0.46169E-01   -0.39359E+02
   424    0.17208E+04    0.19578E+02    0.46322E-01   -0.40782E+02
   425    0.17253E+04    0.19471E+02    0.46477E-01   -0.42179E+02
   426    0.17299E+04    0.19361E+02    0.46632E-01   -0.43550E+02
   427    0.17349E+04    0.19247E+02    0.46788E-01   -0.44897E+02
   428    0.17401E+04    0.19131E+02    0.46946E-01   -0.46215E+02
   429    0.17455E+04    0.19012E+02    0.47104E-01   -0.47506E+02
   430    0.17513E+04    0.18891E+02    0.47264E-01   -0.48771E+02
   431    0.17573E+04    0.18766E+02    0.47424E-01   -0.50007E+02
   432    0.17634E+04    0.18638E+02    0.47586E-01   -0.51215E+02
   433    0.17699E+04    0.18509E+02    0.47749E-01   -0.52393E+02
   434    0.17766E+04    0.18376E+02    0.47912E-01   -0.53544E+02
   435    0.17834E+04    0.18242E+02    0.48077E-01   -0.54665E+02
   436    0.17906E+04    0.18105E+02    0.48243E-01   -0.55756E+02
   437    0.17980E+04    0.17965E+02    0.48410E-01   -0.56816E+02
   438    0.18055E+04    0.17823E+02    0.48578E-01   -0.57845E+02
   439    0.18133E+04    0.17680E+02    0.48748E-01   -0.58844E+02
   440    0.18213E+04    0.17533E+02    0.48918E-01   -0.59810E+02
   441    0.18295E+04    0.17385E+02    0.49089E-01   -0.60746E+02
   442    0.18377E+04    0.17234E+02    0.49261E-01   -0.61650E+02
   443    0.18463E+04    0.17082E+02    0.49435E-01   -0.62521E+02
   444    0.18550E+04    0.16928E+02    0.49609E-01   -0.63360E+02
   445    0.18638E+04    0.16771E+02    0.49784E-01   -0.64166E+02
   446    0.18727E+04    0.16614E+02    0.49961E-01   -0.64937E+02
   447    0.18818E+04    0.16456E+02    0.50138E-01   -0.65678E+02
   448    0.18910E+04    0.16294E+02    0.50316E-01   -0.66384E+02
   449    0.19005E+04    0.16132E+02    0.50496E-01   -0.67057E+02
   450    0.19100E+04    0.15970E+02    0.50676E-01   -0.67696E+02
   451    0.19197E+04    0.15805E+02    0.50857E-01   -0.68301E+02
   452    0.19294E+04    0.15639E+02    0.51039E-01   -0.68874E+02
   453    0.19393E+04    0.15473E+02    0.51222E-01   -0.69412E+02
   454    0.19492E+04    0.15305E+02    0.51406E-01   -0.69917E+02
   455    0.19592E+04    0.15137E+02    0.51590E-01   -0.70388E+02
   456    0.19694E+04    0.14967E+02    0.51776E-01   -0.70820E+02
   457    0.19796E+04    0.14797E+02    0.51962E-01   -0.71226E+02
   458    0.19899E+04    0.14626E+02    0.52149E-01   -0.71588E+02
   459    0.20003E+04    0.14456E+02    0.52337E-01   -0.71921E+02
   460    0.20107E+04    0.14284E+02    0.52526E-01   -0.72220E+02
   461    0.20211E+04    0.14112E+02    0.52715E-01   -0.72484E+02
   462    0.20316E+04    0.13940E+02    0.52906E-01   -0.72709E+02
   463    0.20422E+04    0.13768E+02    0.53096E-01   -0.72912E+02
   464    0.20527E+04    0.13596E+02    0.53288E-01   -0.73065E+02
   465    0.20632E+04    0.13424E+02    0.53480E-01   -0.73196E+02
   466    0.20738E+04    0.13252E+02    0.53673E-01   -0.73284E+02
   467    0.20844E+04    0.13080E+02    0.53867E-01   -0.73343E+02
   468    0.20950E+04    0.12909E+02    0.54061E-01   -0.73366E+02
   469    0.21056E+04    0.12737E+02    0.54256E-01   -0.73360E+02
   470    0.21163E+04    0.12567E+02    0.54451E-01   -0.73318E+02
   471    0.21267E+04    0.12398E+02    0.54647E-01   -0.73240E+02
   472    0.21373E+04    0.12230E+02    0.54844E-01   -0.73133E+02
   473    0.21478E+04    0.12062E+02    0.55041E-01   -0.72990E+02
   474    0.21583E+04    0.11895E+02    0.55239E-01   -0.72819E+02
   475    0.21689E+04    0.11729E+02    0.55437E-01   -0.72611E+02
   476    0.21792E+04    0.11564E+02    0.55635E-01   -0.72370E+02
   477    0.21895E+04    0.11401E+02    0.55834E-01   -0.72104E+02
   478    0.21998E+04    0.11238E+02    0.56033E-01   -0.71795E+02
   479    0.22101E+04    0.11077E+02    0.56233E-01   -0.71468E+02
   480    0.22202E+04    0.10918E+02    0.56433E-01   -0.71103E+02
   481    0.22303E+04    0.10760E+02    0.56633E-01   -0.70705E+02
   482    0.22404E+04    0.10605E+02    0.56834E-01   -0.70278E+02
   483    0.22503E+04    0.10451E+02    0.57035E-01   -0.69826E+02
   484    0.22600E+04    0.10299E+02    0.57236E-01   -0.69342E+02
   485    0.22698E+04    0.10148E+02    0.57438E-01   -0.68827E+02
   486    0.22794E+04    0.10001E+02    0.57640E-01   -0.68285E+02
   487    0.22890E+04    0.98554E+01    0.57842E-01   -0.67715E+02
   488    0.22983E+04    0.97114E+01    0.58044E-01   -0.67115E+02
   489    0.23076E+04    0.95704E+01    0.58246E-01   -0.66489E+02
   490    0.23168E+04    0.94323E+01    0.58449E-01   -0.65834E+02
   491    0.23258E+04    0.92963E+01    0.58651E-01   -0.65154E+02
   492    0.23347E+04    0.91633E+01    0.58854E-01   -0.64449E+02
   493    0.23435E+04    0.90316E+01    0.59057E-01   -0.63716E+02
   494    0.23521E+04    0.89043E+01    0.59259E-01   -0.62959E+02
   495    0.23606E+04    0.87792E+01    0.59462E-01   -0.62177E+02
   496    0.23688E+04    0.86577E+01    0.59665E-01   -0.61371E+02
   497    0.23770E+04    0.85391E+01    0.59867E-01   -0.60541E+02
   498    0.23850E+04    0.84226E+01    0.60070E-01   -0.59690E+02
   499    0.23929E+04    0.83104E+01    0.60272E-01   -0.58814E+02
   500    0.24006E+04    0.82004E+01    0.60474E-01   -0.57918E+02
   501    0.24080E+04    0.80947E+01    0.60676E-01   -0.57000E+02
   502    0.24154E+04    0.79926E+01    0.60878E-01   -0.56061E+02
   503    0.24226E+04    0.78934E+01    0.61080E-01   -0.55102E+02
   504    0.24295E+04    0.77978E+01    0.61281E-01   -0.54123E+02
   505    0.24364E+04    0.77065E+01    0.61482E-01   -0.53126E+02
   506    0.24430E+04    0.76189E+01    0.61683E-01   -0.52110E+02
   507    0.24494E+04    0.75348E+01    0.61883E-01   -0.51077E+02
   508    0.24556E+04    0.74552E+01    0.62083E-01   -0.50026E+02
   509    0.24617E+04    0.73791E+01    0.62283E-01   -0.48959E+02
   510    0.24674E+04    0.73071E+01    0.62482E-01   -0.47877E+02
   511    0.24731E+04    0.72390E+01    0.62681E-01   -0.46780E+02
   512    0.24785E+04    0.71752E+01    0.62879E-01   -0.45668E+02
   513    0.24838E+04    0.71156E+01    0.63076E-01   -0.44543E+02
   514    0.24888E+04    0.70603E+01    0.63273E-01   -0.43405E+02
   515    0.24937E+04    0.70093E+01    0.63470E-01   -0.42255E+02
   516    0.24983E+04    0.69627E+01    0.63665E-01   -0.41093E+02
   517    0.25026E+04    0.69206E+01    0.63861E-01   -0.39920E+02
   518    0.25068E+04    0.68829E+01    0.64055E-01   -0.38737E+02
   519    0.25108E+04    0.68498E+01    0.64248E-01   -0.37544E+02
   520    0.25146E+04    0.68212E+01    0.64441E-01   -0.36343E+02
   521    0.25180E+04    0.67972E+01    0.64633E-01   -0.35134E+02
   522    0.25213E+04    0.67780E+01    0.64824E-01   -0.33917E+02
   523    0.25244E+04    0.67635E+01    0.65015E-01   -0.32694E+02
   524    0.25273E+04    0.67537E+01    0.65204E-01   -0.31465E+02
   525    0.25298E+04    0.67486E+01    0.65393E-01   -0.30230E+02
   526    0.25322E+04    0.67483E+01    0.65580E-01   -0.28990E+02
   527    0.25345E+04    0.67529E+01    0.65767E-01   -0.27747E+02
   528    0.25365E+04    0.67622E+01    0.65953E-01   -0.26502E+02
   529    0.25382E+04    0.67767E+01    0.66137E-01   -0.25254E+02
   530    0.25397E+04    0.67960E+01    0.66321E-01   -0.24005E+02
   531    0.25411E+04    0.68201E+01    0.66503E-01   -0.22754E+02
   532    0.25422E+04    0.68492E+01    0.66684E-01   -0.21503E+02
   533    0.25430E+04    0.68834E+01    0.66865E-01   -0.20254E+02
   534    0.25436E+04    0.69225E+01    0.67044E-01   -0.19005E+02
   535    0.25439E+04    0.69667E+01    0.67222E-01   -0.17759E+02
   536    0.25441E+04    0.70158E+01    0.67398E-01   -0.16516E+02
   537    0.25441E+04    0.70700E+01    0.67574E-01   -0.15275E+02
   538    0.25438E+04    0.71293E+01    0.67748E-01   -0.14040E+02
   539    0.25433E+04    0.71934E+01    0.67921E-01   -0.12809E+02
   540    0.25426E+04    0.72629E+01    0.68092E-01   -0.11584E+02
   541    0.25416E+04    0.73372E+01    0.68263E-01   -0.10365E+02
   542    0.25405E+04    0.74165E+01    0.68432E-01   -0.91534E+01
   543    0.25391E+04    0.75010E+01    0.68600E-01   -0.79496E+01
   544    0.25376E+04    0.75905E+01    0.68766E-01   -0.67542E+01
   545    0.25357E+04    0.76850E+01    0.68931E-01   -0.55678E+01
   546    0.25338E+04    0.77843E+01    0.69095E-01   -0.43913E+01
   547    0.25315E+04    0.78886E+01    0.69257E-01   -0.32251E+01
   548    0.25291E+04    0.79978E+01    0.69418E-01   -0.20701E+01
   549    0.25265E+04    0.81120E+01    0.69577E-01   -0.92708E+00
   550    0.25236E+04    0.82313E+01    0.69735E-01    0.20353E+00
   551    0.25206E+04    0.83555E+01    0.69892E-01    0.13211E+01
   552    0.25174E+04    0.84847E+01    0.70047E-01    0.24246E+01
   553    0.25140E+04    0.86174E+01    0.70200E-01    0.35138E+01
   554    0.25103E+04    0.87565E+01    0.70352E-01    0.45879E+01
   555    0.25065E+04    0.89000E+01    0.70503E-01    0.56461E+01
   556    0.25025E+04    0.90484E+01    0.70652E-01    0.66883E+01
   557    0.24983E+04    0.92010E+01    0.70800E-01    0.77127E+01
   558    0.24939E+04    0.93594E+01    0.70946E-01    0.87200E+01
   559    0.24892E+04    0.95213E+01    0.71091E-01    0.97094E+01
   560    0.24845E+04    0.96874E+01    0.71234E-01    0.10679E+02
   561    0.24795E+04    0.98586E+01    0.71375E-01    0.11630E+02
   562    0.24744E+04    0.10035E+02    0.71515E-01    0.12561E+02
   563    0.24692E+04    0.10214E+02    0.71654E-01    0.13473E+02
   564    0.24638E+04    0.10400E+02    0.71791E-01    0.14362E+02
   565    0.24581E+04    0.10588E+02    0.71926E-01    0.15230E+02
   566    0.24524E+04    0.10781E+02    0.72060E-01    0.16076E+02
   567    0.24465E+04    0.10978E+02    0.72192E-01    0.16899E+02
   568    0.24404E+04    0.11179E+02    0.72323E-01    0.17699E+02
   569    0.24342E+04    0.11385E+02    0.72452E-01    0.18477E+02
   570    0.24278E+04    0.11595E+02    0.72579E-01    0.19229E+02
   571    0.24213E+04    0.11808E+02    0.72705E-01    0.19957E+02
   572    0.24146E+04    0.12025E+02    0.72830E-01    0.20660E+02
   573    0.24078E+04    0.12246E+02    0.72953E-01    0.21337E+02
   574    0.24009E+04    0.12471E+02    0.73074E-01    0.21989E+02
   575    0.23939E+04    0.12699E+02    0.73193E-01    0.22613E+02
   576    0.23868E+04    0.12931E+02    0.73311E-01    0.23212E+02
   577    0.23794E+04    0.13167E+02    0.73428E-01    0.23784E+02
   578    0.23720E+04    0.13405E+02    0.73543E-01    0.24328E+02
   579    0.23646E+04    0.13648E+02    0.73656E-01    0.24845E+02
   580    0.23570E+04    0.13893E+02    0.73768E-01    0.25333E+02
   581    0.23492E+04    0.14141E+02    0.73878E-01    0.25793E+02
   582    0.23414E+04    0.14393E+02    0.73986E-01    0.26224E+02
   583    0.23335E+04    0.14648E+02    0.74093E-01    0.26626E+02
   584    0.23255E+04    0.14905E+02    0.74199E-01    0.26998E+02
   585    0.23174E+04    0.15165E+02    0.74302E-01    0.27341E+02
   586    0.23093E+04    0.15428E+02    0.74405E-01    0.27654E+02
   587    0.23011E+04    0.15693E+02    0.74505E-01    0.27937E+02
   588    0.22928E+04    0.15961E+02    0.74604E-01    0.28188E+02
   589    0.22844E+04    0.16232E+02    0.74702E-01    0.28410E+02
   590    0.22759E+04    0.16504E+02    0.74798E-01    0.28601E+02
   591    0.22674E+04    0.16780E+02    0.74892E-01    0.28761E+02
   592    0.22589E+04    0.17056E+02    0.74985E-01    0.28888E+02
   593    0.22503E+04    0.17336E+02    0.75077E-01    0.28986E+02
   594    0.22415E+04    0.17617E+02    0.75167E-01    0.29051E+02
   595    0.22328E+04    0.17899E+02    0.75255E-01    0.29085E+02
   596    0.22241E+04    0.18185E+02    0.75342E-01    0.29087E+02
   597    0.22153E+04    0.18469E+02    0.75428E-01    0.29058E+02
   598    0.22067E+04    0.18757E+02    0.75512E-01    0.28996E+02
   599    0.21980E+04    0.19046E+02    0.75594E-01    0.28903E+02
   600    0.21892E+04    0.19336E+02    0.75676E-01    0.28778E+02
   601    0.21803E+04    0.19628E+02    0.75755E-01    0.28620E+02
   602    0.21715E+04    0.19919E+02    0.75834E-01    0.28430E+02
   603    0.21626E+04    0.20213E+02    0.75911E-01    0.28209E+02
   604    0.21539E+04    0.20507E+02    0.75987E-01    0.27956E+02
   605    0.21451E+04    0.20801E+02    0.76061E-01    0.27671E+02
   606    0.21363E+04    0.21096E+02    0.76134E-01    0.27353E+02
   607    0.21273E+04    0.21392E+02    0.76206E-01    0.27004E+02
   608    0.21186E+04    0.21688E+02    0.76276E-01    0.26623E+02
   609    0.21099E+04    0.21984E+02    0.76346E-01    0.26210E+02
   610    0.21012E+04    0.22279E+02    0.76414E-01    0.25765E+02
   611    0.20925E+04    0.22576E+02    0.76480E-01    0.25289E+02
   612    0.20839E+04    0.22873E+02    0.76546E-01    0.24783E+02
   613    0.20752E+04    0.23166E+02    0.76611E-01    0.24244E+02
   614    0.20667E+04    0.23462E+02    0.76674E-01    0.23674E+02
   615    0.20581E+04    0.23756E+02    0.76736E-01    0.23073E+02
   616    0.20497E+04    0.24050E+02    0.76798E-01    0.22442E+02
   617    0.20414E+04    0.24344E+02    0.76858E-01    0.21780E+02
   618    0.20330E+04    0.24637E+02    0.76917E-01    0.21088E+02
   619    0.20247E+04    0.24930E+02    0.76975E-01    0.20367E+02
   620    0.20166E+04    0.25221E+02    0.77033E-01    0.19615E+02
   621    0.20084E+04    0.25511E+02    0.77089E-01    0.18834E+02
   622    0.20004E+04    0.25799E+02    0.77144E-01    0.18023E+02
   623    0.19925E+04    0.26086E+02    0.77199E-01    0.17185E+02
   624    0.19846E+04    0.26371E+02    0.77253E-01    0.16318E+02
   625    0.19768E+04    0.26654E+02    0.77306E-01    0.15422E+02
   626    0.19691E+04    0.26936E+02    0.77358E-01    0.14498E+02
   627    0.19616E+04    0.27216E+02    0.77410E-01    0.13547E+02
   628    0.19541E+04    0.27494E+02    0.77460E-01    0.12568E+02
   629    0.19468E+04    0.27770E+02    0.77510E-01    0.11562E+02
   630    0.19394E+04    0.28043E+02    0.77560E-01    0.10529E+02
   631    0.19322E+04    0.28314E+02    0.77609E-01    0.94714E+01
   632    0.19253E+04    0.28583E+02    0.77657E-01    0.83868E+01
   633    0.19183E+04    0.28850E+02    0.77704E-01    0.72776E+01
   634    0.19115E+04    0.29112E+02    0.77752E-01    0.61437E+01
   635    0.19049E+04    0.29373E+02    0.77798E-01    0.49855E+01
   636    0.18983E+04    0.29632E+02    0.77844E-01    0.38037E+01
   637    0.18919E+04    0.29886E+02    0.77890E-01    0.25976E+01
   638    0.18856E+04    0.30139E+02    0.77935E-01    0.13695E+01
   639    0.18795E+04    0.30387E+02    0.77980E-01    0.11818E+00
   640    0.18735E+04    0.30633E+02    0.78025E-01   -0.11546E+01
   641    0.18677E+04    0.30876E+02    0.78069E-01   -0.24490E+01
   642    0.18619E+04    0.31114E+02    0.78113E-01   -0.37643E+01
   643    0.18563E+04    0.31350E+02    0.78157E-01   -0.50998E+01
   644    0.18510E+04    0.31581E+02    0.78200E-01   -0.64552E+01
   645    0.18457E+04    0.31808E+02    0.78243E-01   -0.78299E+01
   646    0.18406E+04    0.32032E+02    0.78286E-01   -0.92235E+01
   647    0.18357E+04    0.32252E+02    0.78329E-01   -0.10636E+02
   648    0.18308E+04    0.32468E+02    0.78372E-01   -0.12065E+02
   649    0.18263E+04    0.32679E+02    0.78415E-01   -0.13511E+02
   650    0.18218E+04    0.32886E+02    0.78457E-01   -0.14974E+02
   651    0.18175E+04    0.33090E+02    0.78500E-01   -0.16453E+02
   652    0.18134E+04    0.33289E+02    0.78542E-01   -0.17947E+02
   653    0.18095E+04    0.33482E+02    0.78585E-01   -0.19455E+02
   654    0.18057E+04    0.33672E+02    0.78627E-01   -0.20977E+02
   655    0.18020E+04    0.33858E+02    0.78670E-01   -0.22512E+02
   656    0.17987E+04    0.34038E+02    0.78713E-01   -0.24060E+02
   657    0.17954E+04    0.34214E+02    0.78755E-01   -0.25619E+02
   658    0.17923E+04    0.34385E+02    0.78798E-01   -0.27190E+02
   659    0.17895E+04    0.34552E+02    0.78841E-01   -0.28771E+02
   660    0.17868E+04    0.34713E+02    0.78885E-01   -0.30362E+02
   661    0.17842E+04    0.34868E+02    0.78928E-01   -0.31961E+02
   662    0.17819E+04    0.35020E+02    0.78972E-01   -0.33570E+02
   663    0.17797E+04    0.35167E+02    0.79016E-01   -0.35187E+02
   664    0.17778E+04    0.35307E+02    0.79060E-01   -0.36810E+02
   665    0.17759E+04    0.35442E+02    0.79105E-01   -0.38440E+02
   666    0.17743E+04    0.35572E+02    0.79150E-01   -0.40075E+02
   667    0.17729E+04    0.35697E+02    0.79195E-01   -0.41715E+02
   668    0.17716E+04    0.35817E+02    0.79241E-01   -0.43361E+02
   669    0.17706E+04    0.35931E+02    0.79287E-01   -0.45009E+02
   670    0.17697E+04    0.36039E+02    0.79334E-01   -0.46660E+02
   671    0.17690E+04    0.36143E+02    0.79381E-01   -0.48313E+02
   672    0.17685E+04    0.36241E+02    0.79429E-01   -0.49969E+02
   673    0.17682E+04    0.36333E+02    0.79477E-01   -0.51624E+02
   674    0.17681E+04    0.36420E+02    0.79526E-01   -0.53279E+02
   675    0.17681E+04    0.36501E+02    0.79575E-01   -0.54935E+02
   676    0.17683E+04    0.36576E+02    0.79625E-01   -0.56587E+02
   677    0.17688E+04    0.36646E+02    0.79675E-01   -0.58238E+02
   678    0.17694E+04    0.36709E+02    0.79727E-01   -0.59887E+02
   679    0.17702E+04    0.36768E+02    0.79778E-01   -0.61532E+02
   680    0.17712E+04    0.36820E+02    0.79831E-01   -0.63173E+02
   681    0.17724E+04    0.36867E+02    0.79884E-01   -0.64808E+02
   682    0.17737E+04    0.36907E+02    0.79938E-01   -0.66439E+02
   683    0.17754E+04    0.36943E+02    0.79993E-01   -0.68064E+02
   684    0.17770E+04    0.36971E+02    0.80048E-01   -0.69682E+02
   685    0.17789E+04    0.36994E+02    0.80105E-01   -0.71293E+02
   686    0.17809E+04    0.37011E+02    0.80162E-01   -0.72887E+02
   687    0.17832E+04    0.37023E+02    0.80220E-01   -0.74477E+02
   688    0.17856E+04    0.37028E+02    0.80279E-01   -0.76059E+02
   689    0.17882E+04    0.37027E+02    0.80339E-01   -0.77627E+02
   690    0.17909E+04    0.37022E+02    0.80400E-01   -0.79187E+02
   691    0.17939E+04    0.37008E+02    0.80461E-01   -0.80733E+02
   692    0.17970E+04    0.36991E+02    0.80524E-01   -0.82265E+02
   693    0.18003E+04    0.36967E+02    0.80587E-01   -0.83790E+02
   694    0.18036E+04    0.36937E+02    0.80652E-01   -0.85292E+02
   695    0.18073E+04    0.36903E+02    0.80718E-01   -0.86781E+02
   696    0.18111E+04    0.36862E+02    0.80784E-01   -0.88270E+02
   697    0.18150E+04    0.36815E+02    0.80852E-01   -0.89730E+02
   698    0.18190E+04    0.36762E+02    0.80920E-01   -0.91175E+02
   699    0.18232E+04    0.36704E+02    0.80990E-01   -0.92600E+02
   700    0.18277E+04    0.36639E+02    0.81061E-01   -0.94009E+02
   701    0.18322E+04    0.36570E+02    0.81133E-01   -0.95405E+02
   702    0.18369E+04    0.36495E+02    0.81206E-01   -0.96772E+02
   703    0.18418E+04    0.36414E+02    0.81280E-01   -0.98140E+02
   704    0.18467E+04    0.36328E+02    0.81355E-01   -0.99472E+02
   705    0.18518E+04    0.36236E+02    0.81431E-01   -0.10078E+03
   706    0.18570E+04    0.36139E+02    0.81509E-01   -0.10208E+03
   707    0.18623E+04    0.36036E+02    0.81587E-01   -0.10335E+03
   708    0.18679E+04    0.35928E+02    0.81667E-01   -0.10459E+03
   709    0.18735E+04    0.35815E+02    0.81747E-01   -0.10582E+03
   710    0.18793E+04    0.35697E+02    0.81829E-01   -0.10703E+03
   711    0.18852E+04    0.35573E+02    0.81912E-01   -0.10820E+03
   712    0.18912E+04    0.35445E+02    0.81996E-01   -0.10937E+03
   713    0.18975E+04    0.35311E+02    0.82082E-01   -0.11049E+03
   714    0.19036E+04    0.35173E+02    0.82168E-01   -0.11160E+03
   715    0.19100E+04    0.35029E+02    0.82256E-01   -0.11268E+03
   716    0.19165E+04    0.34881E+02    0.82344E-01   -0.11374E+03
   717    0.19231E+04    0.34728E+02    0.82434E-01   -0.11476E+03
   718    0.19297E+04    0.34570E+02    0.82525E-01   -0.11576E+03
   719    0.19365E+04    0.34407E+02    0.82617E-01   -0.11672E+03
   720    0.19432E+04    0.34239E+02    0.82710E-01   -0.11767E+03
   721    0.19503E+04    0.34069E+02    0.82805E-01   -0.11858E+03
   722    0.19573E+04    0.33892E+02    0.82900E-01   -0.11946E+03
   723    0.19644E+04    0.33713E+02    0.82996E-01   -0.12032E+03
   724    0.19716E+04    0.33528E+02    0.83094E-01   -0.12115E+03
   725    0.19788E+04    0.33340E+02    0.83192E-01   -0.12194E+03
   726    0.19862E+04    0.33149E+02    0.83292E-01   -0.12270E+03
   727    0.19936E+04    0.32953E+02    0.83393E-01   -0.12344E+03
   728    0.20011E+04    0.32752E+02    0.83495E-01   -0.12414E+03
   729    0.20086E+04    0.32548E+02    0.83597E-01   -0.12482E+03
   730    0.20162E+04    0.32341E+02    0.83701E-01   -0.12546E+03
   731    0.20239E+04    0.32128E+02    0.83806E-01   -0.12606E+03
   732    0.20316E+04    0.31915E+02    0.83912E-01   -0.12663E+03
   733    0.20394E+04    0.31697E+02    0.84019E-01   -0.12718E+03
   734    0.20472E+04    0.31475E+02    0.84126E-01   -0.12768E+03
   735    0.20551E+04    0.31250E+02    0.84235E-01   -0.12816E+03
   736    0.20628E+04    0.31022E+02    0.84345E-01   -0.12860E+03
   737    0.20708E+04    0.30792E+02    0.84455E-01   -0.12902E+03
   738    0.20787E+04    0.30559E+02    0.84567E-01   -0.12938E+03
   739    0.20866E+04    0.30323E+02    0.84679E-01   -0.12972E+03
   740    0.20945E+04    0.30084E+02    0.84793E-01   -0.13003E+03
   741    0.21025E+04    0.29841E+02    0.84907E-01   -0.13031E+03
   742    0.21105E+04    0.29599E+02    0.85022E-01   -0.13054E+03
   743    0.21185E+04    0.29355E+02    0.85138E-01   -0.13074E+03
   744    0.21266E+04    0.29107E+02    0.85254E-01   -0.13091E+03
   745    0.21346E+04    0.28857E+02    0.85372E-01   -0.13105E+03
   746    0.21425E+04    0.28606E+02    0.85490E-01   -0.13114E+03
   747    0.21504E+04    0.28352E+02    0.85609E-01   -0.13120E+03
   748    0.21584E+04    0.28097E+02    0.85729E-01   -0.13123E+03
   749    0.21664E+04    0.27839E+02    0.85850E-01   -0.13124E+03
   750    0.21743E+04    0.27581E+02    0.85971E-01   -0.13120E+03
   751    0.21822E+04    0.27321E+02    0.86093E-01   -0.13113E+03
   752    0.21902E+04    0.27061E+02    0.86215E-01   -0.13101E+03
   753    0.21980E+04    0.26798E+02    0.86339E-01   -0.13087E+03
   754    0.22058E+04    0.26535E+02    0.86463E-01   -0.13068E+03
   755    0.22136E+04    0.26271E+02    0.86587E-01   -0.13047E+03
   756    0.22212E+04    0.26006E+02    0.86712E-01   -0.13022E+03
   757    0.22290E+04    0.25741E+02    0.86838E-01   -0.12993E+03
   758    0.22366E+04    0.25475E+02    0.86965E-01   -0.12961E+03
   759    0.22442E+04    0.25208E+02    0.87091E-01   -0.12926E+03
   760    0.22517E+04    0.24941E+02    0.87219E-01   -0.12887E+03
   761    0.22591E+04    0.24675E+02    0.87347E-01   -0.12845E+03
   762    0.22666E+04    0.24408E+02    0.87475E-01   -0.12799E+03
   763    0.22738E+04    0.24142E+02    0.87604E-01   -0.12750E+03
   764    0.22811E+04    0.23876E+02    0.87733E-01   -0.12699E+03
   765    0.22882E+04    0.23609E+02    0.87862E-01   -0.12643E+03
   766    0.22954E+04    0.23344E+02    0.87992E-01   -0.12584E+03
   767    0.23023E+04    0.23080E+02    0.88122E-01   -0.12522E+03
   768    0.23093E+04    0.22816E+02    0.88253E-01   -0.12455E+03
   769    0.23161E+04    0.22551E+02    0.88384E-01   -0.12387E+03
   770    0.23228E+04    0.22289E+02    0.88515E-01   -0.12315E+03
   771    0.23294E+04    0.22028E+02    0.88646E-01   -0.12240E+03
   772    0.23359E+04    0.21768E+02    0.88778E-01   -0.12160E+03
   773    0.23423E+04    0.21509E+02    0.88910E-01   -0.12078E+03
   774    0.23486E+04    0.21252E+02    0.89041E-01   -0.11994E+03
   775    0.23549E+04    0.20996E+02    0.89173E-01   -0.11906E+03
