#    L    TT             EE             TE             PP             TP          
    75    0.19343E+04    0.38507E+00   -0.77703E+01    0.57419E+07    0.91488E+04
    76    0.19589E+04    0.39885E+00   -0.82627E+01    0.57108E+07    0.90189E+04
    77    0.19838E+04    0.41281E+00   -0.87656E+01    0.56795E+07    0.88918E+04
    78    0.20090E+04    0.42697E+00   -0.92805E+01    0.56481E+07    0.87668E+04
    79    0.20345E+04    0.44127E+00   -0.98038E+01    0.56167E+07    0.86433E+04
    80    0.20602E+04    0.45571E+00   -0.10337E+02    0.55852E+07    0.85206E+04
    81    0.20861E+04    0.47025E+00   -0.10881E+02    0.55537E+07    0.83983E+04
    82    0.21122E+04    0.48490E+00   -0.11434E+02    0.55222E+07    0.82767E+04
    83    0.21386E+04    0.49964E+00   -0.11995E+02    0.54907E+07    0.81566E+04
    84    0.21652E+04    0.51447E+00   -0.12564E+02    0.54592E+07    0.80386E+04
    85    0.21919E+04    0.52937E+00   -0.13141E+02    0.54277E+07    0.79232E+04
    86    0.22188E+04    0.54433E+00   -0.13725E+02    0.53963E+07    0.78110E+04
    87    0.22461E+04    0.55935E+00   -0.14314E+02    0.53650E+07    0.77019E+04
    88    0.22735E+04    0.57441E+00   -0.14910E+02    0.53337E+07    0.75957E+04
    89    0.23012E+04    0.58953E+00   -0.15513E+02    0.53025E+07    0.74924E+04
    90    0.23291E+04    0.60465E+00   -0.16121E+02    0.52714E+07    0.73917E+04
    91    0.23571E+04    0.61977E+00   -0.16735E+02    0.52404E+07    0.72934E+04
    92    0.23854E+04    0.63487E+00   -0.17354E+02    0.52095E+07    0.71976E+04
    93    0.24140E+04    0.64996E+00   -0.17978E+02    0.51787E+07    0.71041E+04
    94    0.24427E+04    0.66498E+00   -0.18605E+02    0.51479E+07    0.70127E+04
    95    0.24717E+04    0.67995E+00   -0.19237E+02    0.51174E+07    0.69236E+04
    96    0.25006E+04    0.69484E+00   -0.19872E+02    0.50869E+07    0.68365E+04
    97    0.25300E+04    0.70965E+00   -0.20510E+02    0.50565E+07    0.67514E+04
    98    0.25596E+04    0.72436E+00   -0.21148E+02    0.50263E+07    0.66682E+04
    99    0.25893E+04    0.73894E+00   -0.21791E+02    0.49962E+07    0.65868E+04
   100    0.26193E+04    0.75339E+00   -0.22432E+02    0.49662E+07    0.65072E+04
   101    0.26494E+04    0.76776E+00   -0.23076E+02    0.49363E+07    0.64292E+04
   102    0.26800E+04    0.78192E+00   -0.23720E+02    0.49066E+07    0.63529E+04
   103    0.27106E+04    0.79593E+00   -0.24365E+02    0.48771E+07    0.62780E+04
   104    0.27414E+04    0.80980E+00   -0.25008E+02    0.48476E+07    0.62046E+04
   105    0.27723E+04    0.82345E+00   -0.25650E+02    0.48184E+07    0.61325E+04
   106    0.28035E+04    0.83696E+00   -0.26290E+02    0.47893E+07    0.60618E+04
   107    0.28346E+04    0.85017E+00   -0.26929E+02    0.47603E+07    0.59921E+04
   108    0.28661E+04    0.86317E+00   -0.27565E+02    0.47315E+07    0.59236E+04
   109    0.28977E+04    0.87587E+00   -0.28197E+02    0.47029E+07    0.58562E+04
   110    0.29294E+04    0.88829E+00   -0.28825E+02    0.46745E+07    0.57897E+04
   111    0.29613E+04    0.90048E+00   -0.29450E+02    0.46462E+07    0.57240E+04
   112    0.29933E+04    0.91239E+00   -0.30070E+02    0.46181E+07    0.56593E+04
   113    0.30256E+04    0.92400E+00   -0.30685E+02    0.45902E+07    0.55954E+04
   114    0.30579E+04    0.93525E+00   -0.31293E+02    0.45625E+07    0.55324E+04
   115    0.30905E+04    0.94629E+00   -0.31895E+02    0.45349E+07    0.54703E+04
   116    0.31231E+04    0.95688E+00   -0.32490E+02    0.45075E+07    0.54091E+04
   117    0.31560E+04    0.96710E+00   -0.33076E+02    0.44803E+07    0.53488E+04
   118    0.31890E+04    0.97711E+00   -0.33656E+02    0.44533E+07    0.52893E+04
   119    0.32221E+04    0.98675E+00   -0.34226E+02    0.44264E+07    0.52308E+04
   120    0.32553E+04    0.99588E+00   -0.34787E+02    0.43998E+07    0.51732E+04
   121    0.32885E+04    0.10048E+01   -0.35338E+02    0.43733E+07    0.51164E+04
   122    0.33218E+04    0.10132E+01   -0.35879E+02    0.43470E+07    0.50606E+04
   123    0.33551E+04    0.10211E+01   -0.36410E+02    0.43209E+07    0.50057E+04
   124    0.33886E+04    0.10287E+01   -0.36928E+02    0.42949E+07    0.49516E+04
   125    0.34220E+04    0.10359E+01   -0.37434E+02    0.42692E+07    0.48985E+04
   126    0.34556E+04    0.10426E+01   -0.37929E+02    0.42436E+07    0.48463E+04
   127    0.34891E+04    0.10489E+01   -0.38411E+02    0.42182E+07    0.47951E+04
   128    0.35226E+04    0.10548E+01   -0.38879E+02    0.41930E+07    0.47447E+04
   129    0.35563E+04    0.10602E+01   -0.39334E+02    0.41680E+07    0.46953E+04
   130    0.35899E+04    0.10650E+01   -0.39774E+02    0.41432E+07    0.46468E+04
   131    0.36235E+04    0.10695E+01   -0.40200E+02    0.41185E+07    0.45992E+04
   132    0.36572E+04    0.10735E+01   -0.40610E+02    0.40941E+07    0.45526E+04
   133    0.36909E+04    0.10770E+01   -0.41007E+02    0.40698E+07    0.45067E+04
   134    0.37245E+04    0.10801E+01   -0.41384E+02    0.40457E+07    0.44618E+04
   135    0.37581E+04    0.10827E+01   -0.41746E+02    0.40218E+07    0.44176E+04
   136    0.37916E+04    0.10847E+01   -0.42089E+02    0.39981E+07    0.43742E+04
   137    0.38252E+04    0.10864E+01   -0.42415E+02    0.39745E+07    0.43316E+04
   138    0.38586E+04    0.10874E+01   -0.42722E+02    0.39512E+07    0.42897E+04
   139    0.38918E+04    0.10882E+01   -0.43010E+02    0.39280E+07    0.42484E+04
   140    0.39252E+04    0.10883E+01   -0.43280E+02    0.39050E+07    0.42078E+04
   141    0.39583E+04    0.10879E+01   -0.43530E+02    0.38821E+07    0.41679E+04
   142    0.39914E+04    0.10871E+01   -0.43759E+02    0.38595E+07    0.41285E+04
   143    0.40244E+04    0.10858E+01   -0.43969E+02    0.38370E+07    0.40897E+04
   144    0.40573E+04    0.10841E+01   -0.44159E+02    0.38147E+07    0.40514E+04
   145    0.40900E+04    0.10819E+01   -0.44327E+02    0.37925E+07    0.40136E+04
   146    0.41227E+04    0.10792E+01   -0.44474E+02    0.37706E+07    0.39763E+04
   147    0.41552E+04    0.10761E+01   -0.44598E+02    0.37487E+07    0.39394E+04
   148    0.41875E+04    0.10724E+01   -0.44701E+02    0.37271E+07    0.39030E+04
   149    0.42197E+04    0.10683E+01   -0.44782E+02    0.37057E+07    0.38669E+04
   150    0.42517E+04    0.10639E+01   -0.44838E+02    0.36844E+07    0.38311E+04
   151    0.42835E+04    0.10590E+01   -0.44872E+02    0.36632E+07    0.37957E+04
   152    0.43150E+04    0.10536E+01   -0.44882E+02    0.36422E+07    0.37606E+04
   153    0.43464E+04    0.10479E+01   -0.44867E+02    0.36214E+07    0.37258E+04
   154    0.43776E+04    0.10417E+01   -0.44829E+02    0.36008E+07    0.36913E+04
   155    0.44086E+04    0.10352E+01   -0.44767E+02    0.35803E+07    0.36571E+04
   156    0.44393E+04    0.10283E+01   -0.44680E+02    0.35600E+07    0.36233E+04
   157    0.44698E+04    0.10211E+01   -0.44568E+02    0.35398E+07    0.35898E+04
   158    0.45001E+04    0.10135E+01   -0.44431E+02    0.35198E+07    0.35567E+04
   159    0.45301E+04    0.10055E+01   -0.44269E+02    0.35000E+07    0.35238E+04
   160    0.45598E+04    0.99725E+00   -0.44081E+02    0.34803E+07    0.34913E+04
   161    0.45894E+04    0.98874E+00   -0.43868E+02    0.34608E+07    0.34592E+04
   162    0.46186E+04    0.97986E+00   -0.43629E+02    0.34414E+07    0.34273E+04
   163    0.46477E+04    0.97068E+00   -0.43365E+02    0.34222E+07    0.33958E+04
   164    0.46764E+04    0.96128E+00   -0.43075E+02    0.34031E+07    0.33647E+04
   165    0.47049E+04    0.95159E+00   -0.42758E+02    0.33842E+07    0.33339E+04
   166    0.47331E+04    0.94174E+00   -0.42415E+02    0.33655E+07    0.33035E+04
   167    0.47611E+04    0.93152E+00   -0.42047E+02    0.33469E+07    0.32734E+04
   168    0.47886E+04    0.92130E+00   -0.41652E+02    0.33284E+07    0.32436E+04
   169    0.48159E+04    0.91079E+00   -0.41229E+02    0.33101E+07    0.32143E+04
   170    0.48428E+04    0.90019E+00   -0.40781E+02    0.32919E+07    0.31852E+04
   171    0.48693E+04    0.88952E+00   -0.40304E+02    0.32739E+07    0.31566E+04
   172    0.48954E+04    0.87871E+00   -0.39801E+02    0.32560E+07    0.31283E+04
   173    0.49210E+04    0.86774E+00   -0.39271E+02    0.32383E+07    0.31004E+04
   174    0.49463E+04    0.85691E+00   -0.38715E+02    0.32207E+07    0.30728E+04
   175    0.49713E+04    0.84594E+00   -0.38131E+02    0.32033E+07    0.30456E+04
   176    0.49957E+04    0.83504E+00   -0.37519E+02    0.31860E+07    0.30188E+04
   177    0.50197E+04    0.82413E+00   -0.36882E+02    0.31688E+07    0.29923E+04
   178    0.50433E+04    0.81344E+00   -0.36217E+02    0.31518E+07    0.29662E+04
   179    0.50664E+04    0.80268E+00   -0.35524E+02    0.31349E+07    0.29404E+04
   180    0.50892E+04    0.79206E+00   -0.34806E+02    0.31182E+07    0.29150E+04
   181    0.51115E+04    0.78158E+00   -0.34061E+02    0.31015E+07    0.28899E+04
   182    0.51333E+04    0.77132E+00   -0.33290E+02    0.30851E+07    0.28652E+04
   183    0.51546E+04    0.76121E+00   -0.32492E+02    0.30687E+07    0.28407E+04
   184    0.51756E+04    0.75131E+00   -0.31668E+02    0.30525E+07    0.28166E+04
   185    0.51960E+04    0.74177E+00   -0.30819E+02    0.30364E+07    0.27927E+04
