#    L    TT             EE             TE             PP             TP          
   552    0.25312E+04    0.81217E+01    0.33354E+01    0.77053E+06    0.35650E+02
   553    0.25277E+04    0.82558E+01    0.44769E+01    0.76830E+06    0.36061E+02
   554    0.25240E+04    0.83966E+01    0.56032E+01    0.76608E+06    0.36488E+02
   555    0.25201E+04    0.85418E+01    0.67134E+01    0.76386E+06    0.36931E+02
   556    0.25160E+04    0.86922E+01    0.78074E+01    0.76166E+06    0.37391E+02
   557    0.25117E+04    0.88471E+01    0.88834E+01    0.75947E+06    0.37866E+02
   558    0.25073E+04    0.90079E+01    0.99419E+01    0.75728E+06    0.38357E+02
   559    0.25025E+04    0.91724E+01    0.10982E+02    0.75511E+06    0.38864E+02
   560    0.24977E+04    0.93414E+01    0.12003E+02    0.75294E+06    0.39386E+02
   561    0.24926E+04    0.95156E+01    0.13004E+02    0.75078E+06    0.39923E+02
   562    0.24874E+04    0.96950E+01    0.13985E+02    0.74863E+06    0.40475E+02
   563    0.24820E+04    0.98781E+01    0.14946E+02    0.74649E+06    0.41042E+02
   564    0.24765E+04    0.10067E+02    0.15884E+02    0.74436E+06    0.41623E+02
   565    0.24707E+04    0.10259E+02    0.16801E+02    0.74223E+06    0.42219E+02
   566    0.24648E+04    0.10456E+02    0.17694E+02    0.74012E+06    0.42829E+02
   567    0.24587E+04    0.10657E+02    0.18565E+02    0.73801E+06    0.43453E+02
   568    0.24525E+04    0.10863E+02    0.19412E+02    0.73592E+06    0.44090E+02
   569    0.24461E+04    0.11074E+02    0.20236E+02    0.73383E+06    0.44741E+02
   570    0.24396E+04    0.11288E+02    0.21034E+02    0.73175E+06    0.45406E+02
   571    0.24328E+04    0.11507E+02    0.21807E+02    0.72967E+06    0.46083E+02
   572    0.24260E+04    0.11730E+02    0.22554E+02    0.72761E+06    0.46774E+02
   573    0.24190E+04    0.11956E+02    0.23275E+02    0.72555E+06    0.47477E+02
   574    0.24119E+04    0.12187E+02    0.23969E+02    0.72351E+06    0.48193E+02
   575    0.24046E+04    0.12421E+02    0.24636E+02    0.72147E+06    0.48922E+02
   576    0.23973E+04    0.12659E+02    0.25276E+02    0.71944E+06    0.49662E+02
   577    0.23897E+04    0.12901E+02    0.25889E+02    0.71741E+06    0.50415E+02
   578    0.23821E+04    0.13146E+02    0.26472E+02    0.71540E+06    0.51179E+02
   579    0.23744E+04    0.13395E+02    0.27028E+02    0.71339E+06    0.51955E+02
   580    0.23666E+04    0.13648E+02    0.27553E+02    0.71139E+06    0.52742E+02
   581    0.23585E+04    0.13903E+02    0.28050E+02    0.70940E+06    0.53541E+02
   582    0.23504E+04    0.14163E+02    0.28517E+02    0.70742E+06    0.54350E+02
   583    0.23422E+04    0.14425E+02    0.28954E+02    0.70545E+06    0.55170E+02
   584    0.23340E+04    0.14690E+02    0.29360E+02    0.70348E+06    0.56001E+02
   585    0.23256E+04    0.14958E+02    0.29736E+02    0.70152E+06    0.56842E+02
   586    0.23172E+04    0.15229E+02    0.30080E+02    0.69957E+06    0.57694E+02
   587    0.23087E+04    0.15503E+02    0.30394E+02    0.69763E+06    0.58555E+02
   588    0.23001E+04    0.15779E+02    0.30675E+02    0.69569E+06    0.59427E+02
   589    0.22914E+04    0.16059E+02    0.30925E+02    0.69377E+06    0.60308E+02
   590    0.22826E+04    0.16340E+02    0.31143E+02    0.69185E+06    0.61198E+02
   591    0.22738E+04    0.16625E+02    0.31329E+02    0.68994E+06    0.62098E+02
   592    0.22649E+04    0.16910E+02    0.31481E+02    0.68803E+06    0.63006E+02
   593    0.22560E+04    0.17200E+02    0.31603E+02    0.68614E+06    0.63924E+02
   594    0.22469E+04    0.17491E+02    0.31690E+02    0.68425E+06    0.64850E+02
   595    0.22378E+04    0.17782E+02    0.31745E+02    0.68236E+06    0.65785E+02
   596    0.22288E+04    0.18078E+02    0.31767E+02    0.68049E+06    0.66727E+02
   597    0.22197E+04    0.18373E+02    0.31756E+02    0.67862E+06    0.67678E+02
   598    0.22108E+04    0.18670E+02    0.31711E+02    0.67676E+06    0.68637E+02
   599    0.22017E+04    0.18970E+02    0.31634E+02    0.67491E+06    0.69603E+02
   600    0.21925E+04    0.19271E+02    0.31523E+02    0.67307E+06    0.70577E+02
   601    0.21833E+04    0.19573E+02    0.31378E+02    0.67123E+06    0.71558E+02
   602    0.21741E+04    0.19876E+02    0.31200E+02    0.66940E+06    0.72547E+02
   603    0.21649E+04    0.20180E+02    0.30989E+02    0.66758E+06    0.73542E+02
   604    0.21557E+04    0.20485E+02    0.30745E+02    0.66576E+06    0.74543E+02
   605    0.21466E+04    0.20791E+02    0.30467E+02    0.66395E+06    0.75551E+02
   606    0.21374E+04    0.21097E+02    0.30155E+02    0.66215E+06    0.76566E+02
   607    0.21281E+04    0.21404E+02    0.29810E+02    0.66036E+06    0.77586E+02
   608    0.21190E+04    0.21713E+02    0.29432E+02    0.65857E+06    0.78612E+02
   609    0.21099E+04    0.22020E+02    0.29020E+02    0.65679E+06    0.79643E+02
   610    0.21008E+04    0.22327E+02    0.28575E+02    0.65501E+06    0.80680E+02
   611    0.20917E+04    0.22635E+02    0.28097E+02    0.65325E+06    0.81722E+02
   612    0.20827E+04    0.22945E+02    0.27588E+02    0.65149E+06    0.82769E+02
   613    0.20737E+04    0.23251E+02    0.27044E+02    0.64974E+06    0.83821E+02
   614    0.20647E+04    0.23558E+02    0.26467E+02    0.64799E+06    0.84877E+02
   615    0.20558E+04    0.23864E+02    0.25858E+02    0.64625E+06    0.85938E+02
   616    0.20470E+04    0.24172E+02    0.25217E+02    0.64452E+06    0.87002E+02
   617    0.20383E+04    0.24478E+02    0.24544E+02    0.64279E+06    0.88071E+02
   618    0.20295E+04    0.24784E+02    0.23839E+02    0.64108E+06    0.89143E+02
   619    0.20208E+04    0.25089E+02    0.23103E+02    0.63936E+06    0.90218E+02
   620    0.20123E+04    0.25392E+02    0.22336E+02    0.63766E+06    0.91297E+02
   621    0.20038E+04    0.25695E+02    0.21537E+02    0.63596E+06    0.92379E+02
   622    0.19954E+04    0.25996E+02    0.20707E+02    0.63427E+06    0.93464E+02
   623    0.19871E+04    0.26296E+02    0.19848E+02    0.63258E+06    0.94551E+02
   624    0.19788E+04    0.26594E+02    0.18958E+02    0.63090E+06    0.95640E+02
   625    0.19706E+04    0.26890E+02    0.18038E+02    0.62923E+06    0.96732E+02
   626    0.19625E+04    0.27185E+02    0.17088E+02    0.62757E+06    0.97826E+02
   627    0.19546E+04    0.27478E+02    0.16109E+02    0.62591E+06    0.98921E+02
   628    0.19468E+04    0.27768E+02    0.15101E+02    0.62425E+06    0.10002E+03
   629    0.19391E+04    0.28057E+02    0.14065E+02    0.62261E+06    0.10112E+03
   630    0.19314E+04    0.28343E+02    0.13000E+02    0.62097E+06    0.10222E+03
   631    0.19238E+04    0.28627E+02    0.11908E+02    0.61933E+06    0.10332E+03
   632    0.19165E+04    0.28909E+02    0.10788E+02    0.61771E+06    0.10442E+03
   633    0.19092E+04    0.29189E+02    0.96412E+01    0.61609E+06    0.10552E+03
   634    0.19021E+04    0.29464E+02    0.84686E+01    0.61447E+06    0.10662E+03
   635    0.18951E+04    0.29738E+02    0.72700E+01    0.61286E+06    0.10772E+03
   636    0.18881E+04    0.30010E+02    0.60462E+01    0.61126E+06    0.10882E+03
   637    0.18814E+04    0.30277E+02    0.47966E+01    0.60966E+06    0.10992E+03
   638    0.18748E+04    0.30542E+02    0.35233E+01    0.60807E+06    0.11103E+03
   639    0.18683E+04    0.30803E+02    0.22254E+01    0.60649E+06    0.11213E+03
   640    0.18620E+04    0.31061E+02    0.90434E+00    0.60491E+06    0.11322E+03
   641    0.18559E+04    0.31316E+02   -0.43981E+00    0.60334E+06    0.11432E+03
   642    0.18498E+04    0.31567E+02   -0.18063E+01    0.60177E+06    0.11542E+03
   643    0.18439E+04    0.31816E+02   -0.31947E+01    0.60021E+06    0.11651E+03
   644    0.18383E+04    0.32058E+02   -0.46043E+01    0.59866E+06    0.11760E+03
   645    0.18327E+04    0.32298E+02   -0.60348E+01    0.59711E+06    0.11870E+03
   646    0.18273E+04    0.32534E+02   -0.74857E+01    0.59557E+06    0.11978E+03
   647    0.18221E+04    0.32766E+02   -0.89566E+01    0.59403E+06    0.12087E+03
   648    0.18170E+04    0.32994E+02   -0.10446E+02    0.59250E+06    0.12195E+03
   649    0.18121E+04    0.33217E+02   -0.11954E+02    0.59098E+06    0.12303E+03
   650    0.18075E+04    0.33435E+02   -0.13480E+02    0.58946E+06    0.12411E+03
   651    0.18029E+04    0.33651E+02   -0.15023E+02    0.58794E+06    0.12518E+03
   652    0.17985E+04    0.33861E+02   -0.16583E+02    0.58643E+06    0.12625E+03
   653    0.17944E+04    0.34066E+02   -0.18158E+02    0.58493E+06    0.12732E+03
   654    0.17904E+04    0.34266E+02   -0.19747E+02    0.58344E+06    0.12838E+03
   655    0.17865E+04    0.34463E+02   -0.21352E+02    0.58195E+06    0.12944E+03
   656    0.17829E+04    0.34654E+02   -0.22971E+02    0.58046E+06    0.13050E+03
   657    0.17795E+04    0.34840E+02   -0.24602E+02    0.57898E+06    0.13155E+03
   658    0.17761E+04    0.35022E+02   -0.26246E+02    0.57751E+06    0.13259E+03
   659    0.17731E+04    0.35199E+02   -0.27902E+02    0.57604E+06    0.13364E+03
   660    0.17702E+04    0.35370E+02   -0.29568E+02    0.57457E+06    0.13467E+03
   661    0.17675E+04    0.35535E+02   -0.31244E+02    0.57312E+06    0.13570E+03
   662    0.17651E+04    0.35697E+02   -0.32930E+02    0.57166E+06    0.13673E+03
   663    0.17627E+04    0.35853E+02   -0.34626E+02    0.57022E+06    0.13776E+03
   664    0.17606E+04    0.36002E+02   -0.36329E+02    0.56878E+06    0.13877E+03
   665    0.17586E+04    0.36146E+02   -0.38040E+02    0.56734E+06    0.13978E+03
   666    0.17569E+04    0.36285E+02   -0.39757E+02    0.56591E+06    0.14079E+03
   667    0.17554E+04    0.36419E+02   -0.41480E+02    0.56448E+06    0.14179E+03
   668    0.17539E+04    0.36547E+02   -0.43210E+02    0.56306E+06    0.14279E+03
   669    0.17529E+04    0.36669E+02   -0.44943E+02    0.56165E+06    0.14378E+03
   670    0.17518E+04    0.36785E+02   -0.46679E+02    0.56024E+06    0.14476E+03
   671    0.17511E+04    0.36897E+02   -0.48418E+02    0.55884E+06    0.14574E+03
   672    0.17505E+04    0.37002E+02   -0.50161E+02    0.55744E+06    0.14671E+03
   673    0.17502E+04    0.37102E+02   -0.51904E+02    0.55604E+06    0.14768E+03
   674    0.17500E+04    0.37195E+02   -0.53648E+02    0.55465E+06    0.14863E+03
   675    0.17500E+04    0.37283E+02   -0.55392E+02    0.55327E+06    0.14959E+03
   676    0.17502E+04    0.37364E+02   -0.57135E+02    0.55189E+06    0.15053E+03
   677    0.17506E+04    0.37440E+02   -0.58877E+02    0.55052E+06    0.15147E+03
   678    0.17513E+04    0.37509E+02   -0.60616E+02    0.54915E+06    0.15240E+03
   679    0.17520E+04    0.37573E+02   -0.62353E+02    0.54779E+06    0.15332E+03
   680    0.17531E+04    0.37631E+02   -0.64086E+02    0.54643E+06    0.15424E+03
   681    0.17543E+04    0.37682E+02   -0.65813E+02    0.54507E+06    0.15515E+03
   682    0.17557E+04    0.37727E+02   -0.67537E+02    0.54372E+06    0.15605E+03
   683    0.17574E+04    0.37767E+02   -0.69255E+02    0.54238E+06    0.15695E+03
   684    0.17591E+04    0.37799E+02   -0.70967E+02    0.54104E+06    0.15783E+03
   685    0.17610E+04    0.37826E+02   -0.72672E+02    0.53971E+06    0.15871E+03
   686    0.17632E+04    0.37846E+02   -0.74360E+02    0.53838E+06    0.15958E+03
   687    0.17656E+04    0.37861E+02   -0.76044E+02    0.53705E+06    0.16044E+03
   688    0.17681E+04    0.37869E+02   -0.77721E+02    0.53573E+06    0.16129E+03
   689    0.17708E+04    0.37871E+02   -0.79383E+02    0.53442E+06    0.16214E+03
   690    0.17737E+04    0.37867E+02   -0.81038E+02    0.53311E+06    0.16297E+03
   691    0.17767E+04    0.37856E+02   -0.82679E+02    0.53180E+06    0.16380E+03
   692    0.17800E+04    0.37840E+02   -0.84305E+02    0.53050E+06    0.16462E+03
   693    0.17835E+04    0.37817E+02   -0.85924E+02    0.52921E+06    0.16542E+03
   694    0.17870E+04    0.37788E+02   -0.87521E+02    0.52792E+06    0.16622E+03
   695    0.17908E+04    0.37754E+02   -0.89104E+02    0.52663E+06    0.16701E+03
   696    0.17948E+04    0.37713E+02   -0.90687E+02    0.52535E+06    0.16779E+03
   697    0.17990E+04    0.37666E+02   -0.92241E+02    0.52407E+06    0.16856E+03
   698    0.18033E+04    0.37612E+02   -0.93781E+02    0.52280E+06    0.16933E+03
   699    0.18077E+04    0.37553E+02   -0.95298E+02    0.52153E+06    0.17008E+03
   700    0.18124E+04    0.37487E+02   -0.96801E+02    0.52026E+06    0.17082E+03
   701    0.18172E+04    0.37416E+02   -0.98290E+02    0.51900E+06    0.17155E+03
   702    0.18221E+04    0.37339E+02   -0.99749E+02    0.51775E+06    0.17227E+03
   703    0.18273E+04    0.37256E+02   -0.10121E+03    0.51650E+06    0.17298E+03
   704    0.18325E+04    0.37167E+02   -0.10263E+03    0.51525E+06    0.17368E+03
   705    0.18379E+04    0.37072E+02   -0.10403E+03    0.51401E+06    0.17437E+03
   706    0.18434E+04    0.36971E+02   -0.10542E+03    0.51277E+06    0.17504E+03
   707    0.18491E+04    0.36865E+02   -0.10678E+03    0.51154E+06    0.17571E+03
   708    0.18550E+04    0.36753E+02   -0.10811E+03    0.51031E+06    0.17637E+03
   709    0.18610E+04    0.36636E+02   -0.10943E+03    0.50908E+06    0.17701E+03
   710    0.18671E+04    0.36512E+02   -0.11072E+03    0.50786E+06    0.17765E+03
   711    0.18734E+04    0.36383E+02   -0.11198E+03    0.50665E+06    0.17827E+03
   712    0.18798E+04    0.36249E+02   -0.11323E+03    0.50543E+06    0.17889E+03
   713    0.18864E+04    0.36110E+02   -0.11444E+03    0.50423E+06    0.17949E+03
   714    0.18930E+04    0.35965E+02   -0.11563E+03    0.50302E+06    0.18008E+03
   715    0.18997E+04    0.35815E+02   -0.11679E+03    0.50182E+06    0.18066E+03
   716    0.19067E+04    0.35659E+02   -0.11793E+03    0.50063E+06    0.18123E+03
   717    0.19137E+04    0.35499E+02   -0.11903E+03    0.49944E+06    0.18178E+03
   718    0.19208E+04    0.35334E+02   -0.12012E+03    0.49825E+06    0.18233E+03
   719    0.19280E+04    0.35162E+02   -0.12116E+03    0.49707E+06    0.18286E+03
   720    0.19352E+04    0.34987E+02   -0.12219E+03    0.49589E+06    0.18339E+03
   721    0.19427E+04    0.34807E+02   -0.12317E+03    0.49471E+06    0.18390E+03
   722    0.19502E+04    0.34622E+02   -0.12412E+03    0.49354E+06    0.18440E+03
   723    0.19578E+04    0.34433E+02   -0.12505E+03    0.49238E+06    0.18488E+03
   724    0.19655E+04    0.34238E+02   -0.12595E+03    0.49121E+06    0.18536E+03
   725    0.19733E+04    0.34040E+02   -0.12682E+03    0.49006E+06    0.18582E+03
   726    0.19812E+04    0.33839E+02   -0.12764E+03    0.48890E+06    0.18628E+03
   727    0.19891E+04    0.33632E+02   -0.12845E+03    0.48775E+06    0.18672E+03
   728    0.19971E+04    0.33420E+02   -0.12922E+03    0.48660E+06    0.18714E+03
   729    0.20052E+04    0.33205E+02   -0.12996E+03    0.48546E+06    0.18756E+03
   730    0.20132E+04    0.32985E+02   -0.13066E+03    0.48432E+06    0.18796E+03
   731    0.20215E+04    0.32761E+02   -0.13133E+03    0.48319E+06    0.18835E+03
   732    0.20298E+04    0.32535E+02   -0.13195E+03    0.48206E+06    0.18873E+03
   733    0.20381E+04    0.32304E+02   -0.13256E+03    0.48093E+06    0.18910E+03
   734    0.20465E+04    0.32070E+02   -0.13312E+03    0.47980E+06    0.18945E+03
   735    0.20550E+04    0.31832E+02   -0.13366E+03    0.47868E+06    0.18979E+03
   736    0.20634E+04    0.31590E+02   -0.13414E+03    0.47757E+06    0.19012E+03
   737    0.20719E+04    0.31346E+02   -0.13461E+03    0.47646E+06    0.19043E+03
   738    0.20804E+04    0.31099E+02   -0.13502E+03    0.47535E+06    0.19074E+03
   739    0.20889E+04    0.30848E+02   -0.13541E+03    0.47424E+06    0.19103E+03
   740    0.20975E+04    0.30595E+02   -0.13576E+03    0.47314E+06    0.19130E+03
   741    0.21061E+04    0.30337E+02   -0.13608E+03    0.47204E+06    0.19157E+03
   742    0.21147E+04    0.30080E+02   -0.13636E+03    0.47095E+06    0.19182E+03
   743    0.21233E+04    0.29820E+02   -0.13660E+03    0.46986E+06    0.19206E+03
   744    0.21320E+04    0.29556E+02   -0.13680E+03    0.46877E+06    0.19228E+03
   745    0.21407E+04    0.29290E+02   -0.13698E+03    0.46769E+06    0.19249E+03
   746    0.21492E+04    0.29023E+02   -0.13710E+03    0.46661E+06    0.19269E+03
   747    0.21578E+04    0.28752E+02   -0.13719E+03    0.46553E+06    0.19287E+03
   748    0.21664E+04    0.28481E+02   -0.13725E+03    0.46446E+06    0.19304E+03
   749    0.21751E+04    0.28206E+02   -0.13728E+03    0.46339E+06    0.19320E+03
   750    0.21836E+04    0.27931E+02   -0.13727E+03    0.46233E+06    0.19334E+03
   751    0.21922E+04    0.27653E+02   -0.13722E+03    0.46127E+06    0.19347E+03
   752    0.22008E+04    0.27376E+02   -0.13712E+03    0.46021E+06    0.19359E+03
   753    0.22093E+04    0.27095E+02   -0.13699E+03    0.45915E+06    0.19369E+03
   754    0.22177E+04    0.26814E+02   -0.13682E+03    0.45810E+06    0.19378E+03
   755    0.22262E+04    0.26532E+02   -0.13662E+03    0.45705E+06    0.19386E+03
   756    0.22345E+04    0.26249E+02   -0.13639E+03    0.45601E+06    0.19392E+03
   757    0.22430E+04    0.25966E+02   -0.13611E+03    0.45497E+06    0.19397E+03
   758    0.22512E+04    0.25681E+02   -0.13579E+03    0.45393E+06    0.19400E+03
   759    0.22595E+04    0.25396E+02   -0.13544E+03    0.45289E+06    0.19403E+03
   760    0.22676E+04    0.25110E+02   -0.13505E+03    0.45186E+06    0.19404E+03
   761    0.22757E+04    0.24825E+02   -0.13463E+03    0.45083E+06    0.19404E+03
   762    0.22839E+04    0.24539E+02   -0.13417E+03    0.44981E+06    0.19402E+03
   763    0.22918E+04    0.24254E+02   -0.13367E+03    0.44879E+06    0.19399E+03
   764    0.22998E+04    0.23968E+02   -0.13315E+03    0.44777E+06    0.19395E+03
   765    0.23075E+04    0.23682E+02   -0.13258E+03    0.44676E+06    0.19390E+03
   766    0.23153E+04    0.23397E+02   -0.13198E+03    0.44574E+06    0.19384E+03
   767    0.23230E+04    0.23113E+02   -0.13134E+03    0.44474E+06    0.19376E+03
   768    0.23306E+04    0.22829E+02   -0.13066E+03    0.44373E+06    0.19367E+03
   769    0.23381E+04    0.22545E+02   -0.12995E+03    0.44273E+06    0.19357E+03
   770    0.23454E+04    0.22263E+02   -0.12921E+03    0.44173E+06    0.19346E+03
   771    0.23527E+04    0.21982E+02   -0.12843E+03    0.44073E+06    0.19334E+03
   772    0.23599E+04    0.21702E+02   -0.12760E+03    0.43974E+06    0.19320E+03
   773    0.23669E+04    0.21424E+02   -0.12676E+03    0.43875E+06    0.19305E+03
   774    0.23738E+04    0.21147E+02   -0.12588E+03    0.43777E+06    0.19289E+03
   775    0.23808E+04    0.20871E+02   -0.12497E+03    0.43678E+06    0.19272E+03
   776    0.23874E+04    0.20598E+02   -0.12402E+03    0.43580E+06    0.19254E+03
   777    0.23940E+04    0.20326E+02   -0.12304E+03    0.43483E+06    0.19235E+03
   778    0.24006E+04    0.20056E+02   -0.12203E+03    0.43385E+06    0.19215E+03
   779    0.24068E+04    0.19788E+02   -0.12099E+03    0.43288E+06    0.19193E+03
   780    0.24130E+04    0.19521E+02   -0.11991E+03    0.43192E+06    0.19171E+03
   781    0.24192E+04    0.19258E+02   -0.11881E+03    0.43095E+06    0.19147E+03
   782    0.24250E+04    0.18997E+02   -0.11768E+03    0.42999E+06    0.19123E+03
   783    0.24309E+04    0.18738E+02   -0.11652E+03    0.42903E+06    0.19097E+03
   784    0.24366E+04    0.18483E+02   -0.11532E+03    0.42808E+06    0.19070E+03
   785    0.24420E+04    0.18229E+02   -0.11410E+03    0.42712E+06    0.19042E+03
   786    0.24474E+04    0.17979E+02   -0.11283E+03    0.42617E+06    0.19014E+03
   787    0.24526E+04    0.17732E+02   -0.11154E+03    0.42523E+06    0.18984E+03
   788    0.24576E+04    0.17487E+02   -0.11023E+03    0.42428E+06    0.18953E+03
   789    0.24624E+04    0.17245E+02   -0.10890E+03    0.42334E+06    0.18921E+03
   790    0.24672E+04    0.17008E+02   -0.10753E+03    0.42240E+06    0.18888E+03
   791    0.24718E+04    0.16773E+02   -0.10613E+03    0.42147E+06    0.18855E+03
   792    0.24762E+04    0.16543E+02   -0.10471E+03    0.42054E+06    0.18820E+03
   793    0.24804E+04    0.16317E+02   -0.10326E+03    0.41961E+06    0.18784E+03
   794    0.24844E+04    0.16095E+02   -0.10179E+03    0.41868E+06    0.18748E+03
   795    0.24883E+04    0.15876E+02   -0.10029E+03    0.41776E+06    0.18710E+03
   796    0.24921E+04    0.15662E+02   -0.98778E+02    0.41684E+06    0.18672E+03
   797    0.24956E+04    0.15451E+02   -0.97234E+02    0.41592E+06    0.18632E+03
   798    0.24989E+04    0.15244E+02   -0.95676E+02    0.41500E+06    0.18592E+03
   799    0.25021E+04    0.15043E+02   -0.94094E+02    0.41409E+06    0.18551E+03
   800    0.25051E+04    0.14845E+02   -0.92490E+02    0.41318E+06    0.18509E+03
   801    0.25079E+04    0.14652E+02   -0.90871E+02    0.41228E+06    0.18466E+03
   802    0.25104E+04    0.14463E+02   -0.89214E+02    0.41137E+06    0.18422E+03
   803    0.25129E+04    0.14278E+02   -0.87557E+02    0.41047E+06    0.18377E+03
   804    0.25151E+04    0.14099E+02   -0.85869E+02    0.40957E+06    0.18332E+03
   805    0.25173E+04    0.13924E+02   -0.84167E+02    0.40867E+06    0.18285E+03
   806    0.25191E+04    0.13754E+02   -0.82449E+02    0.40778E+06    0.18238E+03
   807    0.25208E+04    0.13589E+02   -0.80715E+02    0.40689E+06    0.18190E+03
   808    0.25222E+04    0.13430E+02   -0.78959E+02    0.40600E+06    0.18141E+03
   809    0.25235E+04    0.13276E+02   -0.77195E+02    0.40512E+06    0.18092E+03
   810    0.25245E+04    0.13126E+02   -0.75409E+02    0.40423E+06    0.18041E+03
   811    0.25253E+04    0.12982E+02   -0.73607E+02    0.40335E+06    0.17990E+03
   812    0.25260E+04    0.12845E+02   -0.71796E+02    0.40248E+06    0.17938E+03
   813    0.25264E+04    0.12711E+02   -0.69974E+02    0.40160E+06    0.17885E+03
   814    0.25268E+04    0.12584E+02   -0.68139E+02    0.40073E+06    0.17832E+03
   815    0.25269E+04    0.12462E+02   -0.66293E+02    0.39986E+06    0.17777E+03
   816    0.25266E+04    0.12346E+02   -0.64436E+02    0.39899E+06    0.17722E+03
   817    0.25263E+04    0.12236E+02   -0.62569E+02    0.39813E+06    0.17666E+03
   818    0.25258E+04    0.12131E+02   -0.60693E+02    0.39727E+06    0.17610E+03
   819    0.25251E+04    0.12032E+02   -0.58808E+02    0.39641E+06    0.17553E+03
   820    0.25242E+04    0.11939E+02   -0.56914E+02    0.39555E+06    0.17495E+03
   821    0.25230E+04    0.11851E+02   -0.55015E+02    0.39469E+06    0.17436E+03
   822    0.25216E+04    0.11770E+02   -0.53108E+02    0.39384E+06    0.17377E+03
   823    0.25201E+04    0.11695E+02   -0.51195E+02    0.39299E+06    0.17317E+03
   824    0.25182E+04    0.11626E+02   -0.49277E+02    0.39215E+06    0.17256E+03
   825    0.25163E+04    0.11562E+02   -0.47355E+02    0.39130E+06    0.17195E+03
   826    0.25141E+04    0.11506E+02   -0.45429E+02    0.39046E+06    0.17133E+03
   827    0.25116E+04    0.11455E+02   -0.43501E+02    0.38962E+06    0.17070E+03
   828    0.25091E+04    0.11410E+02   -0.41570E+02    0.38878E+06    0.17007E+03
   829    0.25063E+04    0.11373E+02   -0.39638E+02    0.38795E+06    0.16943E+03
   830    0.25033E+04    0.11341E+02   -0.37707E+02    0.38712E+06    0.16878E+03
   831    0.25001E+04    0.11315E+02   -0.35776E+02    0.38629E+06    0.16813E+03
   832    0.24967E+04    0.11295E+02   -0.33846E+02    0.38546E+06    0.16747E+03
   833    0.24931E+04    0.11281E+02   -0.31917E+02    0.38463E+06    0.16681E+03
   834    0.24892E+04    0.11274E+02   -0.29990E+02    0.38381E+06    0.16614E+03
   835    0.24853E+04    0.11274E+02   -0.28066E+02    0.38299E+06    0.16546E+03
   836    0.24810E+04    0.11279E+02   -0.26146E+02    0.38217E+06    0.16478E+03
   837    0.24766E+04    0.11290E+02   -0.24230E+02    0.38136E+06    0.16409E+03
   838    0.24720E+04    0.11309E+02   -0.22319E+02    0.38055E+06    0.16340E+03
   839    0.24671E+04    0.11333E+02   -0.20413E+02    0.37973E+06    0.16270E+03
   840    0.24621E+04    0.11365E+02   -0.18514E+02    0.37893E+06    0.16200E+03
   841    0.24569E+04    0.11402E+02   -0.16623E+02    0.37812E+06    0.16129E+03
   842    0.24515E+04    0.11445E+02   -0.14737E+02    0.37732E+06    0.16057E+03
   843    0.24459E+04    0.11494E+02   -0.12863E+02    0.37651E+06    0.15986E+03
   844    0.24400E+04    0.11551E+02   -0.10997E+02    0.37571E+06    0.15913E+03
   845    0.24340E+04    0.11612E+02   -0.91409E+01    0.37492E+06    0.15840E+03
   846    0.24279E+04    0.11682E+02   -0.72963E+01    0.37412E+06    0.15767E+03
   847    0.24217E+04    0.11756E+02   -0.54626E+01    0.37333E+06    0.15693E+03
   848    0.24152E+04    0.11837E+02   -0.36417E+01    0.37254E+06    0.15618E+03
   849    0.24084E+04    0.11923E+02   -0.18329E+01    0.37175E+06    0.15544E+03
   850    0.24017E+04    0.12017E+02   -0.37471E-01    0.37097E+06    0.15468E+03
   851    0.23946E+04    0.12116E+02    0.17441E+01    0.37018E+06    0.15393E+03
   852    0.23874E+04    0.12222E+02    0.35114E+01    0.36940E+06    0.15316E+03
   853    0.23800E+04    0.12334E+02    0.52637E+01    0.36862E+06    0.15240E+03
   854    0.23724E+04    0.12452E+02    0.69995E+01    0.36784E+06    0.15163E+03
   855    0.23646E+04    0.12576E+02    0.87198E+01    0.36707E+06    0.15085E+03
   856    0.23567E+04    0.12704E+02    0.10423E+02    0.36630E+06    0.15008E+03
   857    0.23486E+04    0.12839E+02    0.12108E+02    0.36553E+06    0.14929E+03
   858    0.23403E+04    0.12982E+02    0.13774E+02    0.36476E+06    0.14851E+03
   859    0.23319E+04    0.13127E+02    0.15424E+02    0.36399E+06    0.14772E+03
   860    0.23234E+04    0.13279E+02    0.17053E+02    0.36323E+06    0.14692E+03
   861    0.23147E+04    0.13438E+02    0.18661E+02    0.36246E+06    0.14612E+03
   862    0.23058E+04    0.13601E+02    0.20250E+02    0.36170E+06    0.14532E+03
   863    0.22968E+04    0.13771E+02    0.21817E+02    0.36095E+06    0.14452E+03
   864    0.22876E+04    0.13945E+02    0.23363E+02    0.36019E+06    0.14371E+03
   865    0.22781E+04    0.14124E+02    0.24886E+02    0.35944E+06    0.14290E+03
   866    0.22689E+04    0.14310E+02    0.26386E+02    0.35868E+06    0.14208E+03
   867    0.22593E+04    0.14501E+02    0.27862E+02    0.35793E+06    0.14126E+03
   868    0.22496E+04    0.14696E+02    0.29315E+02    0.35719E+06    0.14044E+03
   869    0.22397E+04    0.14897E+02    0.30744E+02    0.35644E+06    0.13961E+03
   870    0.22297E+04    0.15102E+02    0.32148E+02    0.35570E+06    0.13878E+03
   871    0.22196E+04    0.15313E+02    0.33527E+02    0.35496E+06    0.13795E+03
