#           k/h    P           
    0.10000E-03    0.14232E-01
    0.10202E-03    0.14509E-01
    0.10408E-03    0.14792E-01
    0.10618E-03    0.15080E-01
    0.10833E-03    0.15373E-01
    0.11052E-03    0.15672E-01
    0.11275E-03    0.15977E-01
    0.11503E-03    0.16288E-01
    0.11735E-03    0.16605E-01
    0.11972E-03    0.16929E-01
    0.12214E-03    0.17258E-01
    0.12461E-03    0.17594E-01
    0.12712E-03    0.17937E-01
    0.12969E-03    0.18286E-01
    0.13231E-03    0.18642E-01
    0.13499E-03    0.19005E-01
    0.13771E-03    0.19374E-01
    0.14049E-03    0.19752E-01
    0.14333E-03    0.20136E-01
    0.14623E-03    0.20528E-01
    0.14918E-03    0.20928E-01
    0.15220E-03    0.21335E-01
    0.15527E-03    0.21750E-01
    0.15841E-03    0.22173E-01
    0.16161E-03    0.22605E-01
    0.16487E-03    0.23045E-01
    0.16820E-03    0.23494E-01
    0.17160E-03    0.23951E-01
    0.17507E-03    0.24417E-01
    0.17860E-03    0.24892E-01
    0.18221E-03    0.25377E-01
    0.18589E-03    0.25871E-01
    0.18965E-03    0.26374E-01
    0.19348E-03    0.26887E-01
    0.19739E-03    0.27411E-01
    0.20138E-03    0.27944E-01
    0.20544E-03    0.28488E-01
    0.20959E-03    0.29043E-01
    0.21383E-03    0.29608E-01
    0.21815E-03    0.30184E-01
    0.22255E-03    0.30771E-01
    0.22705E-03    0.31370E-01
    0.23164E-03    0.31981E-01
    0.23632E-03    0.32603E-01
    0.24109E-03    0.33238E-01
    0.24596E-03    0.33884E-01
    0.25093E-03    0.34544E-01
    0.25600E-03    0.35216E-01
    0.26117E-03    0.35901E-01
    0.26645E-03    0.36600E-01
    0.27183E-03    0.37312E-01
    0.27732E-03    0.38038E-01
    0.28292E-03    0.38778E-01
    0.28864E-03    0.39533E-01
    0.29447E-03    0.40302E-01
    0.30042E-03    0.41086E-01
    0.30649E-03    0.41885E-01
    0.31268E-03    0.42700E-01
    0.31899E-03    0.43531E-01
    0.32544E-03    0.44378E-01
    0.33201E-03    0.45241E-01
    0.33872E-03    0.46121E-01
    0.34556E-03    0.47018E-01
    0.35254E-03    0.47933E-01
    0.35966E-03    0.48865E-01
    0.36693E-03    0.49816E-01
    0.37434E-03    0.50785E-01
    0.38190E-03    0.51773E-01
    0.38962E-03    0.52780E-01
    0.39749E-03    0.53806E-01
    0.40552E-03    0.54852E-01
    0.41371E-03    0.55919E-01
    0.42207E-03    0.57007E-01
    0.43060E-03    0.58115E-01
    0.43929E-03    0.59245E-01
    0.44817E-03    0.60397E-01
    0.45722E-03    0.61571E-01
    0.46646E-03    0.62768E-01
    0.47588E-03    0.63989E-01
    0.48550E-03    0.65232E-01
    0.49530E-03    0.66500E-01
    0.50531E-03    0.67793E-01
    0.51552E-03    0.69111E-01
    0.52593E-03    0.70454E-01
    0.53656E-03    0.71823E-01
    0.54739E-03    0.73219E-01
    0.55845E-03    0.74641E-01
    0.56973E-03    0.76091E-01
    0.58124E-03    0.77570E-01
    0.59299E-03    0.79076E-01
    0.60496E-03    0.80612E-01
    0.61719E-03    0.82178E-01
    0.62965E-03    0.83774E-01
    0.64237E-03    0.85401E-01
    0.65535E-03    0.87059E-01
    0.66859E-03    0.88749E-01
    0.68210E-03    0.90472E-01
    0.69588E-03    0.92228E-01
    0.70993E-03    0.94018E-01
    0.72427E-03    0.95843E-01
    0.73891E-03    0.97702E-01
    0.75383E-03    0.99598E-01
    0.76906E-03    0.10153E+00
    0.78460E-03    0.10350E+00
    0.80045E-03    0.10551E+00
    0.81662E-03    0.10755E+00
    0.83311E-03    0.10964E+00
    0.84994E-03    0.11176E+00
    0.86711E-03    0.11393E+00
    0.88463E-03    0.11613E+00
    0.90250E-03    0.11838E+00
    0.92073E-03    0.12068E+00
    0.93933E-03    0.12301E+00
    0.95831E-03    0.12540E+00
    0.97767E-03    0.12782E+00
    0.99742E-03    0.13030E+00
    0.10176E-02    0.13282E+00
    0.10381E-02    0.13538E+00
    0.10591E-02    0.13800E+00
    0.10805E-02    0.14067E+00
    0.11023E-02    0.14339E+00
    0.11246E-02    0.14616E+00
    0.11473E-02    0.14898E+00
    0.11705E-02    0.15186E+00
    0.11941E-02    0.15479E+00
    0.12182E-02    0.15777E+00
    0.12429E-02    0.16082E+00
    0.12680E-02    0.16392E+00
    0.12936E-02    0.16708E+00
    0.13197E-02    0.17030E+00
    0.13464E-02    0.17357E+00
    0.13736E-02    0.17691E+00
    0.14013E-02    0.18032E+00
    0.14296E-02    0.18379E+00
    0.14585E-02    0.18732E+00
    0.14880E-02    0.19092E+00
    0.15180E-02    0.19458E+00
    0.15487E-02    0.19831E+00
    0.15800E-02    0.20212E+00
    0.16119E-02    0.20599E+00
    0.16445E-02    0.20993E+00
    0.16777E-02    0.21395E+00
    0.17116E-02    0.21804E+00
    0.17462E-02    0.22221E+00
    0.17814E-02    0.22645E+00
    0.18174E-02    0.23078E+00
    0.18541E-02    0.23518E+00
    0.18916E-02    0.23966E+00
    0.19298E-02    0.24422E+00
    0.19688E-02    0.24886E+00
    0.20086E-02    0.25359E+00
    0.20491E-02    0.25840E+00
    0.20905E-02    0.26330E+00
    0.21328E-02    0.26829E+00
    0.21758E-02    0.27336E+00
    0.22198E-02    0.27853E+00
    0.22646E-02    0.28378E+00
    0.23104E-02    0.28913E+00
    0.23571E-02    0.29458E+00
    0.24047E-02    0.30011E+00
    0.24533E-02    0.30575E+00
    0.25028E-02    0.31148E+00
    0.25534E-02    0.31730E+00
    0.26050E-02    0.32323E+00
    0.26576E-02    0.32926E+00
    0.27113E-02    0.33539E+00
    0.27660E-02    0.34163E+00
    0.28219E-02    0.34796E+00
    0.28789E-02    0.35441E+00
    0.29371E-02    0.36095E+00
    0.29964E-02    0.36761E+00
    0.30569E-02    0.37437E+00
    0.31187E-02    0.38124E+00
    0.31817E-02    0.38822E+00
    0.32460E-02    0.39531E+00
    0.33115E-02    0.40251E+00
    0.33784E-02    0.40982E+00
    0.34467E-02    0.41725E+00
    0.35163E-02    0.42478E+00
    0.35874E-02    0.43243E+00
    0.36598E-02    0.44019E+00
    0.37338E-02    0.44807E+00
    0.38092E-02    0.45605E+00
    0.38861E-02    0.46415E+00
    0.39646E-02    0.47237E+00
    0.40447E-02    0.48069E+00
    0.41264E-02    0.48913E+00
    0.42098E-02    0.49768E+00
    0.42948E-02    0.50634E+00
    0.43816E-02    0.51511E+00
    0.44701E-02    0.52399E+00
    0.45604E-02    0.53298E+00
    0.46525E-02    0.54208E+00
    0.47465E-02    0.55128E+00
    0.48424E-02    0.56059E+00
    0.49402E-02    0.56999E+00
    0.50400E-02    0.57950E+00
    0.51419E-02    0.58910E+00
    0.52457E-02    0.59880E+00
    0.53517E-02    0.60859E+00
    0.54598E-02    0.61847E+00
    0.55701E-02    0.62843E+00
    0.56826E-02    0.63848E+00
    0.57974E-02    0.64860E+00
    0.59145E-02    0.65880E+00
    0.60340E-02    0.66907E+00
    0.61559E-02    0.67940E+00
    0.62803E-02    0.68979E+00
    0.64072E-02    0.70024E+00
    0.65366E-02    0.71073E+00
    0.66686E-02    0.72126E+00
    0.68033E-02    0.73184E+00
    0.69408E-02    0.74244E+00
    0.70810E-02    0.75306E+00
    0.72240E-02    0.76369E+00
    0.73700E-02    0.77434E+00
    0.75189E-02    0.78498E+00
    0.76708E-02    0.79561E+00
    0.78257E-02    0.80622E+00
    0.79838E-02    0.81680E+00
    0.81451E-02    0.82735E+00
    0.83096E-02    0.83785E+00
    0.84775E-02    0.84829E+00
    0.86488E-02    0.85866E+00
    0.88235E-02    0.86895E+00
    0.90017E-02    0.87915E+00
    0.91836E-02    0.88925E+00
    0.93691E-02    0.89924E+00
    0.95583E-02    0.90910E+00
    0.97514E-02    0.91882E+00
    0.99484E-02    0.92839E+00
    0.10149E-01    0.93780E+00
    0.10354E-01    0.94703E+00
    0.10564E-01    0.95607E+00
    0.10777E-01    0.96491E+00
    0.10995E-01    0.97353E+00
    0.11217E-01    0.98193E+00
    0.11443E-01    0.99009E+00
    0.11675E-01    0.99799E+00
    0.11910E-01    0.10056E+01
    0.12151E-01    0.10130E+01
    0.12397E-01    0.10200E+01
    0.12647E-01    0.10268E+01
    0.12902E-01    0.10332E+01
    0.13163E-01    0.10393E+01
    0.13429E-01    0.10450E+01
    0.13700E-01    0.10504E+01
    0.13977E-01    0.10555E+01
    0.14259E-01    0.10601E+01
    0.14547E-01    0.10643E+01
    0.14841E-01    0.10682E+01
    0.15141E-01    0.10716E+01
    0.15447E-01    0.10746E+01
    0.15759E-01    0.10771E+01
    0.16077E-01    0.10792E+01
    0.16402E-01    0.10809E+01
    0.16734E-01    0.10821E+01
    0.17072E-01    0.10828E+01
    0.17416E-01    0.10830E+01
    0.17768E-01    0.10827E+01
    0.18127E-01    0.10819E+01
    0.18493E-01    0.10806E+01
    0.18867E-01    0.10788E+01
    0.19248E-01    0.10765E+01
    0.19637E-01    0.10736E+01
    0.20034E-01    0.10702E+01
    0.20438E-01    0.10663E+01
    0.20851E-01    0.10618E+01
    0.21272E-01    0.10568E+01
    0.21702E-01    0.10512E+01
    0.22141E-01    0.10451E+01
    0.22588E-01    0.10385E+01
    0.23044E-01    0.10313E+01
    0.23510E-01    0.10236E+01
    0.23985E-01    0.10153E+01
    0.24469E-01    0.10066E+01
    0.24964E-01    0.99733E+00
    0.25468E-01    0.98758E+00
    0.25982E-01    0.97737E+00
    0.26507E-01    0.96669E+00
    0.27043E-01    0.95556E+00
    0.27589E-01    0.94402E+00
    0.28146E-01    0.93209E+00
    0.28715E-01    0.91978E+00
    0.29295E-01    0.90713E+00
    0.29887E-01    0.89416E+00
    0.30490E-01    0.88090E+00
    0.31106E-01    0.86740E+00
    0.31735E-01    0.85368E+00
    0.32376E-01    0.83978E+00
    0.33030E-01    0.82573E+00
