#           k/h    P           
    0.33697E-01    0.81157E+00
    0.34378E-01    0.79735E+00
    0.35072E-01    0.78310E+00
    0.35781E-01    0.76885E+00
    0.36504E-01    0.75465E+00
    0.37241E-01    0.74054E+00
    0.37993E-01    0.72657E+00
    0.38761E-01    0.71277E+00
    0.39544E-01    0.69918E+00
    0.40343E-01    0.68584E+00
    0.41158E-01    0.67277E+00
    0.41989E-01    0.65999E+00
    0.42838E-01    0.64753E+00
    0.43703E-01    0.63539E+00
    0.44586E-01    0.62361E+00
    0.45486E-01    0.61222E+00
    0.46405E-01    0.60127E+00
    0.47343E-01    0.59077E+00
    0.48299E-01    0.58077E+00
    0.49275E-01    0.57124E+00
    0.50270E-01    0.56216E+00
    0.51286E-01    0.55349E+00
    0.52322E-01    0.54517E+00
    0.53379E-01    0.53719E+00
    0.54457E-01    0.52953E+00
    0.55557E-01    0.52215E+00
    0.56680E-01    0.51505E+00
    0.57825E-01    0.50819E+00
    0.58993E-01    0.50149E+00
    0.60184E-01    0.49490E+00
    0.61400E-01    0.48833E+00
    0.62641E-01    0.48172E+00
    0.63906E-01    0.47500E+00
    0.65197E-01    0.46810E+00
    0.66514E-01    0.46098E+00
    0.67858E-01    0.45355E+00
    0.69229E-01    0.44577E+00
    0.70627E-01    0.43758E+00
    0.72054E-01    0.42895E+00
    0.73510E-01    0.41985E+00
    0.74994E-01    0.41028E+00
    0.76509E-01    0.40024E+00
    0.78055E-01    0.38976E+00
    0.79632E-01    0.37888E+00
    0.81241E-01    0.36766E+00
    0.82882E-01    0.35618E+00
    0.84556E-01    0.34451E+00
    0.86264E-01    0.33276E+00
    0.88007E-01    0.32102E+00
    0.89785E-01    0.30942E+00
    0.91598E-01    0.29805E+00
    0.93449E-01    0.28702E+00
    0.95337E-01    0.27645E+00
    0.97263E-01    0.26645E+00
    0.99227E-01    0.25710E+00
    0.10123E+00    0.24846E+00
    0.10328E+00    0.24059E+00
    0.10536E+00    0.23351E+00
    0.10749E+00    0.22719E+00
    0.10966E+00    0.22159E+00
    0.11188E+00    0.21663E+00
    0.11414E+00    0.21220E+00
    0.11644E+00    0.20819E+00
    0.11880E+00    0.20445E+00
    0.12120E+00    0.20086E+00
    0.12365E+00    0.19725E+00
    0.12614E+00    0.19349E+00
    0.12869E+00    0.18947E+00
    0.13129E+00    0.18506E+00
    0.13394E+00    0.18021E+00
    0.13665E+00    0.17488E+00
    0.13941E+00    0.16909E+00
    0.14223E+00    0.16292E+00
    0.14510E+00    0.15647E+00
    0.14803E+00    0.14989E+00
    0.15102E+00    0.14332E+00
    0.15407E+00    0.13693E+00
    0.15718E+00    0.13087E+00
    0.16036E+00    0.12527E+00
    0.16360E+00    0.12025E+00
    0.16690E+00    0.11586E+00
    0.17028E+00    0.11211E+00
    0.17371E+00    0.10891E+00
    0.17722E+00    0.10617E+00
    0.18080E+00    0.10373E+00
    0.18446E+00    0.10145E+00
    0.18818E+00    0.99158E-01
    0.19198E+00    0.96724E-01
    0.19586E+00    0.94028E-01
    0.19982E+00    0.91009E-01
    0.20386E+00    0.87668E-01
    0.20797E+00    0.84082E-01
    0.21218E+00    0.80377E-01
    0.21646E+00    0.76701E-01
    0.22083E+00    0.73197E-01
    0.22530E+00    0.69986E-01
    0.22985E+00    0.67143E-01
    0.23449E+00    0.64689E-01
    0.23923E+00    0.62589E-01
    0.24406E+00    0.60756E-01
    0.24899E+00    0.59074E-01
    0.25402E+00    0.57411E-01
    0.25915E+00    0.55652E-01
    0.26439E+00    0.53732E-01
    0.26973E+00    0.51654E-01
    0.27518E+00    0.49477E-01
    0.28074E+00    0.47288E-01
    0.28641E+00    0.45182E-01
    0.29219E+00    0.43244E-01
    0.29810E+00    0.41524E-01
    0.30412E+00    0.40014E-01
    0.31026E+00    0.38659E-01
    0.31653E+00    0.37384E-01
    0.32292E+00    0.36115E-01
    0.32945E+00    0.34797E-01
    0.33610E+00    0.33417E-01
    0.34289E+00    0.32008E-01
    0.34982E+00    0.30626E-01
    0.35689E+00    0.29321E-01
    0.36409E+00    0.28128E-01
    0.37145E+00    0.27046E-01
    0.37895E+00    0.26043E-01
    0.38661E+00    0.25079E-01
    0.39442E+00    0.24119E-01
    0.40239E+00    0.23146E-01
    0.41052E+00    0.22176E-01
    0.41881E+00    0.21236E-01
    0.42727E+00    0.20349E-01
    0.43590E+00    0.19523E-01
    0.44471E+00    0.18751E-01
    0.45369E+00    0.18010E-01
    0.46286E+00    0.17285E-01
    0.47221E+00    0.16570E-01
    0.48174E+00    0.15871E-01
    0.49148E+00    0.15203E-01
    0.50141E+00    0.14570E-01
    0.51153E+00    0.13971E-01
    0.52187E+00    0.13397E-01
    0.53241E+00    0.12840E-01
    0.54317E+00    0.12299E-01
    0.55414E+00    0.11777E-01
    0.56533E+00    0.11279E-01
    0.57675E+00    0.10803E-01
    0.58840E+00    0.10349E-01
    0.60029E+00    0.99103E-02
    0.61242E+00    0.94872E-02
    0.62479E+00    0.90808E-02
    0.63741E+00    0.86918E-02
    0.65029E+00    0.83197E-02
    0.66342E+00    0.79629E-02
    0.67683E+00    0.76204E-02
    0.69050E+00    0.72915E-02
    0.70445E+00    0.69760E-02
    0.71868E+00    0.66733E-02
    0.73320E+00    0.63829E-02
    0.74801E+00    0.61045E-02
    0.76312E+00    0.58376E-02
    0.77854E+00    0.55818E-02
    0.79426E+00    0.53367E-02
    0.81031E+00    0.51018E-02
    0.82668E+00    0.48769E-02
    0.84338E+00    0.46614E-02
    0.86041E+00    0.44551E-02
    0.87780E+00    0.42576E-02
    0.89553E+00    0.40685E-02
    0.91362E+00    0.38874E-02
    0.93208E+00    0.37141E-02
    0.95091E+00    0.35482E-02
    0.97011E+00    0.33894E-02
    0.98971E+00    0.32374E-02
    0.10097E+01    0.30920E-02
    0.10301E+01    0.29528E-02
    0.10509E+01    0.28197E-02
    0.10721E+01    0.26923E-02
    0.10938E+01    0.25704E-02
    0.11159E+01    0.24539E-02
    0.11384E+01    0.23424E-02
    0.11614E+01    0.22359E-02
    0.11849E+01    0.21340E-02
    0.12088E+01    0.20365E-02
    0.12333E+01    0.19434E-02
    0.12582E+01    0.18544E-02
    0.12836E+01    0.17693E-02
    0.13095E+01    0.16880E-02
    0.13360E+01    0.16103E-02
    0.13630E+01    0.15361E-02
    0.13905E+01    0.14652E-02
    0.14186E+01    0.13974E-02
    0.14472E+01    0.13327E-02
    0.14765E+01    0.12709E-02
    0.15063E+01    0.12118E-02
    0.15367E+01    0.11555E-02
    0.15678E+01    0.11016E-02
    0.15994E+01    0.10502E-02
    0.16318E+01    0.10012E-02
    0.16647E+01    0.95433E-03
    0.16984E+01    0.90961E-03
    0.17327E+01    0.86694E-03
    0.17677E+01    0.82620E-03
    0.18034E+01    0.78733E-03
    0.18398E+01    0.75024E-03
    0.18770E+01    0.71485E-03
    0.19149E+01    0.68108E-03
    0.19536E+01    0.64887E-03
    0.19930E+01    0.61814E-03
    0.20333E+01    0.58883E-03
    0.20744E+01    0.56087E-03
    0.21163E+01    0.53421E-03
    0.21590E+01    0.50878E-03
    0.22026E+01    0.48454E-03
    0.22471E+01    0.46142E-03
    0.22925E+01    0.43937E-03
    0.23388E+01    0.41836E-03
    0.23861E+01    0.39833E-03
    0.24343E+01    0.37923E-03
    0.24835E+01    0.36103E-03
    0.25336E+01    0.34368E-03
    0.25848E+01    0.32715E-03
    0.26370E+01    0.31139E-03
    0.26903E+01    0.29638E-03
    0.27447E+01    0.28207E-03
    0.28001E+01    0.26844E-03
    0.28567E+01    0.25546E-03
    0.29144E+01    0.24309E-03
    0.29733E+01    0.23130E-03
    0.30333E+01    0.22008E-03
    0.30946E+01    0.20939E-03
    0.31571E+01    0.19921E-03
    0.32209E+01    0.18951E-03
    0.32860E+01    0.18027E-03
    0.33523E+01    0.17148E-03
    0.34201E+01    0.16311E-03
    0.34892E+01    0.15514E-03
    0.35596E+01    0.14755E-03
    0.36316E+01    0.14032E-03
    0.37049E+01    0.13345E-03
    0.37798E+01    0.12690E-03
    0.38561E+01    0.12067E-03
    0.39340E+01    0.11474E-03
    0.40135E+01    0.10909E-03
    0.40946E+01    0.10372E-03
    0.41773E+01    0.98608E-04
    0.42617E+01    0.93744E-04
    0.43478E+01    0.89115E-04
    0.44356E+01    0.84711E-04
    0.45252E+01    0.80521E-04
    0.46166E+01    0.76535E-04
    0.47099E+01    0.72743E-04
    0.48050E+01    0.69135E-04
    0.49021E+01    0.65704E-04
    0.50011E+01    0.62440E-04
    0.51021E+01    0.59336E-04
    0.52052E+01    0.56384E-04
    0.53104E+01    0.53576E-04
    0.54176E+01    0.50906E-04
    0.55271E+01    0.48367E-04
    0.56387E+01    0.45953E-04
    0.57526E+01    0.43657E-04
    0.58689E+01    0.41474E-04
    0.59874E+01    0.39399E-04
    0.61084E+01    0.37427E-04
    0.62318E+01    0.35551E-04
    0.63577E+01    0.33768E-04
    0.64861E+01    0.32074E-04
    0.66171E+01    0.30463E-04
    0.67508E+01    0.28932E-04
    0.68872E+01    0.27477E-04
    0.70263E+01    0.26094E-04
    0.71682E+01    0.24779E-04
    0.73130E+01    0.23530E-04
    0.74608E+01    0.22343E-04
    0.76115E+01    0.21216E-04
    0.77653E+01    0.20144E-04
    0.79221E+01    0.19126E-04
    0.80822E+01    0.18158E-04
    0.82454E+01    0.17239E-04
    0.84120E+01    0.16366E-04
    0.85819E+01    0.15537E-04
    0.87553E+01    0.14749E-04
    0.89322E+01    0.14000E-04
    0.91126E+01    0.13289E-04
    0.92967E+01    0.12614E-04
    0.94845E+01    0.11973E-04
    0.96761E+01    0.11363E-04
    0.98716E+01    0.10785E-04
    0.10071E+02    0.10235E-04
    0.10274E+02    0.97137E-05
    0.10482E+02    0.92183E-05
    0.10694E+02    0.87478E-05
    0.10910E+02    0.83010E-05
    0.11130E+02    0.78768E-05
    0.11355E+02    0.74741E-05
    0.11584E+02    0.70917E-05
    0.11818E+02    0.67287E-05
    0.12057E+02    0.63840E-05
    0.12301E+02    0.60568E-05
    0.12549E+02    0.57463E-05
    0.12803E+02    0.54514E-05
    0.13061E+02    0.51716E-05
    0.13325E+02    0.49059E-05
    0.13594E+02    0.46538E-05
    0.13869E+02    0.44144E-05
    0.14149E+02    0.41873E-05
    0.14435E+02    0.39717E-05
    0.14727E+02    0.37671E-05
    0.15024E+02    0.35730E-05
    0.15328E+02    0.33887E-05
    0.15637E+02    0.32139E-05
    0.15953E+02    0.30480E-05
    0.16275E+02    0.28906E-05
    0.16604E+02    0.27412E-05
    0.16940E+02    0.25995E-05
    0.17282E+02    0.24650E-05
    0.17631E+02    0.23375E-05
    0.17987E+02    0.22164E-05
    0.18351E+02    0.21016E-05
    0.18721E+02    0.19927E-05
    0.19099E+02    0.18894E-05
    0.19485E+02    0.17914E-05
    0.19879E+02    0.16984E-05
    0.20280E+02    0.16102E-05
    0.20690E+02    0.15266E-05
    0.21108E+02    0.14472E-05
    0.21535E+02    0.13719E-05
    0.21970E+02    0.13006E-05
    0.22413E+02    0.12328E-05
    0.22866E+02    0.11686E-05
    0.23328E+02    0.11077E-05
    0.23799E+02    0.10499E-05
    0.24280E+02    0.99515E-06
    0.24771E+02    0.94320E-06
    0.25271E+02    0.89395E-06
    0.25782E+02    0.84725E-06
    0.26302E+02    0.80298E-06
    0.26834E+02    0.76102E-06
    0.27376E+02    0.72124E-06
    0.27929E+02    0.68353E-06
    0.28493E+02    0.64780E-06
