#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186226E-03   0.113333E+06   0.113331E+06   0.151035E+06   0.151016E+06   0.000000E+00   0.113333E+06   0.113333E+06   0.122245E+06  -0.606793E+00   0.112997E+06   0.112996E+06   0.122982E+02
   0.205635E-03   0.113332E+06   0.113329E+06   0.151017E+06   0.150993E+06   0.000000E+00   0.113331E+06   0.113331E+06   0.122242E+06  -0.606780E+00   0.112996E+06   0.112995E+06   0.135798E+02
   0.227067E-03   0.113330E+06   0.113327E+06   0.150994E+06   0.150966E+06   0.000000E+00   0.113330E+06   0.113330E+06   0.122239E+06  -0.606765E+00   0.112994E+06   0.112993E+06   0.149949E+02
   0.250732E-03   0.113329E+06   0.113325E+06   0.150967E+06   0.150933E+06   0.000000E+00   0.113328E+06   0.113328E+06   0.122236E+06  -0.606747E+00   0.112992E+06   0.112991E+06   0.165574E+02
   0.276864E-03   0.113326E+06   0.113322E+06   0.150934E+06   0.150892E+06   0.000000E+00   0.113326E+06   0.113326E+06   0.122231E+06  -0.606724E+00   0.112990E+06   0.112988E+06   0.182826E+02
   0.305720E-03   0.113324E+06   0.113318E+06   0.150894E+06   0.150843E+06   0.000000E+00   0.113323E+06   0.113323E+06   0.122226E+06  -0.606697E+00   0.112987E+06   0.112985E+06   0.201876E+02
   0.337583E-03   0.113321E+06   0.113313E+06   0.150845E+06   0.150782E+06   0.000000E+00   0.113319E+06   0.113319E+06   0.122219E+06  -0.606663E+00   0.112984E+06   0.112981E+06   0.222908E+02
   0.372767E-03   0.113317E+06   0.113308E+06   0.150785E+06   0.150709E+06   0.000000E+00   0.113315E+06   0.113315E+06   0.122211E+06  -0.606623E+00   0.112980E+06   0.112977E+06   0.246131E+02
   0.411618E-03   0.113312E+06   0.113301E+06   0.150712E+06   0.150619E+06   0.000000E+00   0.113310E+06   0.113310E+06   0.122202E+06  -0.606573E+00   0.112975E+06   0.112971E+06   0.271770E+02
   0.454518E-03   0.113306E+06   0.113293E+06   0.150623E+06   0.150510E+06   0.000000E+00   0.113304E+06   0.113304E+06   0.122190E+06  -0.606512E+00   0.112969E+06   0.112964E+06   0.300076E+02
   0.501889E-03   0.113299E+06   0.113283E+06   0.150515E+06   0.150377E+06   0.000000E+00   0.113296E+06   0.113296E+06   0.122175E+06  -0.606439E+00   0.112962E+06   0.112956E+06   0.331327E+02
   0.554198E-03   0.113290E+06   0.113271E+06   0.150383E+06   0.150215E+06   0.000000E+00   0.113287E+06   0.113287E+06   0.122157E+06  -0.606349E+00   0.112953E+06   0.112945E+06   0.365826E+02
   0.611958E-03   0.113280E+06   0.113256E+06   0.150223E+06   0.150018E+06   0.000000E+00   0.113276E+06   0.113276E+06   0.122136E+06  -0.606239E+00   0.112942E+06   0.112933E+06   0.403910E+02
