#           k/h    P           
    0.10000E-03    0.14263E-01
    0.10202E-03    0.14541E-01
    0.10408E-03    0.14824E-01
    0.10618E-03    0.15112E-01
    0.10833E-03    0.15407E-01
    0.11052E-03    0.15707E-01
    0.11275E-03    0.16012E-01
    0.11503E-03    0.16324E-01
    0.11735E-03    0.16642E-01
    0.11972E-03    0.16966E-01
    0.12214E-03    0.17296E-01
    0.12461E-03    0.17633E-01
    0.12712E-03    0.17976E-01
    0.12969E-03    0.18326E-01
    0.13231E-03    0.18682E-01
    0.13499E-03    0.19046E-01
    0.13771E-03    0.19417E-01
    0.14049E-03    0.19795E-01
    0.14333E-03    0.20180E-01
    0.14623E-03    0.20573E-01
    0.14918E-03    0.20973E-01
    0.15220E-03    0.21381E-01
    0.15527E-03    0.21798E-01
    0.15841E-03    0.22222E-01
    0.16161E-03    0.22654E-01
    0.16487E-03    0.23095E-01
    0.16820E-03    0.23545E-01
    0.17160E-03    0.24003E-01
    0.17507E-03    0.24470E-01
    0.17860E-03    0.24947E-01
    0.18221E-03    0.25432E-01
    0.18589E-03    0.25927E-01
    0.18965E-03    0.26432E-01
    0.19348E-03    0.26946E-01
    0.19739E-03    0.27471E-01
    0.20138E-03    0.28005E-01
    0.20544E-03    0.28550E-01
    0.20959E-03    0.29106E-01
    0.21383E-03    0.29672E-01
    0.21815E-03    0.30250E-01
    0.22255E-03    0.30839E-01
    0.22705E-03    0.31439E-01
    0.23164E-03    0.32051E-01
    0.23632E-03    0.32674E-01
    0.24109E-03    0.33310E-01
    0.24596E-03    0.33958E-01
    0.25093E-03    0.34619E-01
    0.25600E-03    0.35293E-01
    0.26117E-03    0.35980E-01
    0.26645E-03    0.36680E-01
    0.27183E-03    0.37393E-01
    0.27732E-03    0.38121E-01
    0.28292E-03    0.38863E-01
    0.28864E-03    0.39619E-01
    0.29447E-03    0.40390E-01
    0.30042E-03    0.41176E-01
    0.30649E-03    0.41977E-01
    0.31268E-03    0.42793E-01
    0.31899E-03    0.43626E-01
    0.32544E-03    0.44475E-01
    0.33201E-03    0.45340E-01
    0.33872E-03    0.46222E-01
    0.34556E-03    0.47121E-01
    0.35254E-03    0.48038E-01
    0.35966E-03    0.48972E-01
    0.36693E-03    0.49925E-01
    0.37434E-03    0.50896E-01
    0.38190E-03    0.51886E-01
    0.38962E-03    0.52895E-01
    0.39749E-03    0.53924E-01
    0.40552E-03    0.54972E-01
    0.41371E-03    0.56041E-01
    0.42207E-03    0.57131E-01
    0.43060E-03    0.58242E-01
    0.43929E-03    0.59374E-01
    0.44817E-03    0.60529E-01
    0.45722E-03    0.61706E-01
    0.46646E-03    0.62905E-01
    0.47588E-03    0.64128E-01
    0.48550E-03    0.65375E-01
    0.49530E-03    0.66646E-01
    0.50531E-03    0.67941E-01
    0.51552E-03    0.69262E-01
    0.52593E-03    0.70608E-01
    0.53656E-03    0.71980E-01
    0.54739E-03    0.73378E-01
    0.55845E-03    0.74804E-01
    0.56973E-03    0.76258E-01
    0.58124E-03    0.77739E-01
    0.59299E-03    0.79249E-01
    0.60496E-03    0.80789E-01
    0.61719E-03    0.82358E-01
    0.62965E-03    0.83957E-01
    0.64237E-03    0.85587E-01
    0.65535E-03    0.87249E-01
    0.66859E-03    0.88943E-01
    0.68210E-03    0.90670E-01
    0.69588E-03    0.92430E-01
    0.70993E-03    0.94223E-01
    0.72427E-03    0.96052E-01
    0.73891E-03    0.97916E-01
    0.75383E-03    0.99815E-01
    0.76906E-03    0.10175E+00
    0.78460E-03    0.10372E+00
    0.80045E-03    0.10574E+00
    0.81662E-03    0.10779E+00
    0.83311E-03    0.10988E+00
    0.84994E-03    0.11201E+00
    0.86711E-03    0.11418E+00
    0.88463E-03    0.11639E+00
    0.90250E-03    0.11864E+00
    0.92073E-03    0.12094E+00
    0.93933E-03    0.12328E+00
    0.95831E-03    0.12567E+00
    0.97767E-03    0.12810E+00
    0.99742E-03    0.13058E+00
    0.10176E-02    0.13311E+00
    0.10381E-02    0.13568E+00
    0.10591E-02    0.13830E+00
    0.10805E-02    0.14098E+00
    0.11023E-02    0.14370E+00
    0.11246E-02    0.14648E+00
    0.11473E-02    0.14931E+00
    0.11705E-02    0.15219E+00
    0.11941E-02    0.15513E+00
    0.12182E-02    0.15812E+00
    0.12429E-02    0.16117E+00
    0.12680E-02    0.16428E+00
    0.12936E-02    0.16744E+00
    0.13197E-02    0.17067E+00
    0.13464E-02    0.17395E+00
    0.13736E-02    0.17730E+00
    0.14013E-02    0.18071E+00
    0.14296E-02    0.18419E+00
    0.14585E-02    0.18773E+00
    0.14880E-02    0.19133E+00
    0.15180E-02    0.19500E+00
    0.15487E-02    0.19875E+00
    0.15800E-02    0.20256E+00
    0.16119E-02    0.20644E+00
    0.16445E-02    0.21039E+00
    0.16777E-02    0.21442E+00
    0.17116E-02    0.21852E+00
    0.17462E-02    0.22270E+00
    0.17814E-02    0.22695E+00
    0.18174E-02    0.23128E+00
    0.18541E-02    0.23569E+00
